DNI/NIE,Primer Apellido,Segundo Apellido,Nombre,Turno,Grupo,Descripcion del grupo,Orden grupo,Descripcion del merito,Puntos autobaremacion,Puntos tribunal,Motivo
***0071**,Lozano,Hidalgo,Yago,Libre,EXP,Experiencia profesional,1,Servicios en administración local,7.83,7.83,
***0071**,Lozano,Hidalgo,Yago,Libre,EXP,Experiencia profesional,2,Servicios en otra administración,12.01,12.01,
***0071**,Lozano,Hidalgo,Yago,Libre,FOR,Formacion,1,Curso de formación específica,3.17,3.17,
***0071**,Lozano,Hidalgo,Yago,Libre,FOR,Formacion,2,Titulación adicional,2.08,2.08,
***0045**,Uceda,Rubio,Manuel,Libre,EXP,Experiencia profesional,1,Servicios en administración local,10.24,10.24,
***0045**,Uceda,Rubio,Manuel,Libre,EXP,Experiencia profesional,2,Servicios en otra administración,5.88,5.88,
***0045**,Uceda,Rubio,Manuel,Libre,FOR,Formacion,1,Curso de formación específica,3.89,3.89,
***0045**,Uceda,Rubio,Manuel,Libre,FOR,Formacion,2,Titulación adicional,2.48,2.48,
***0045**,Uceda,Rubio,Manuel,Libre,FOR,Formacion,3,Jornadas y seminarios,1.56,1.56,
***0042**,Navarro,Iglesias,Bruno,Libre,EXP,Experiencia profesional,1,Servicios en administración local,9.29,9.29,
***0042**,Navarro,Iglesias,Bruno,Libre,EXP,Experiencia profesional,2,Servicios en otra administración,3.9,3.9,
***0042**,Navarro,Iglesias,Bruno,Libre,EXP,Experiencia profesional,3,Servicios en el sector privado,2.81,2.81,
***0042**,Navarro,Iglesias,Bruno,Libre,FOR,Formacion,1,Curso de formación específica,7.93,7.93,
***0052**,Molina,Valverde,Julia,Libre,EXP,Experiencia profesional,1,Servicios en administración local,18.74,18.74,
***0052**,Molina,Valverde,Julia,Libre,FOR,Formacion,1,Curso de formación específica,1.62,1.62,
***0052**,Molina,Valverde,Julia,Libre,FOR,Formacion,2,Titulación adicional,1.95,1.95,
***0039**,Ibáñez,Alcalde,Sergio,Libre,EXP,Experiencia profesional,1,Servicios en administración local,3.4,3.4,
***0039**,Ibáñez,Alcalde,Sergio,Libre,EXP,Experiencia profesional,2,Servicios en otra administración,12.72,12.72,
***0039**,Ibáñez,Alcalde,Sergio,Libre,EXP,Experiencia profesional,3,Servicios en el sector privado,3.12,3.12,
***0039**,Ibáñez,Alcalde,Sergio,Libre,FOR,Formacion,1,Curso de formación específica,2.93,2.93,
***0049**,Valverde,,Rocío,Discapacidad,EXP,Experiencia profesional,1,Servicios en administración local,18.39,18.39,
***0049**,Valverde,,Rocío,Discapacidad,EXP,Experiencia profesional,2,Servicios en otra administración,1.04,1.04,
***0049**,Valverde,,Rocío,Discapacidad,FOR,Formacion,1,Curso de formación específica,0.07,0.07,
***0049**,Valverde,,Rocío,Discapacidad,FOR,Formacion,2,Titulación adicional,0.67,0.67,
***0049**,Valverde,,Rocío,Discapacidad,FOR,Formacion,3,Jornadas y seminarios,0.99,0.99,
***0070**,Zamora,Barranco,Nuria,Libre,EXP,Experiencia profesional,1,Servicios en administración local,15.51,15.51,
***0070**,Zamora,Barranco,Nuria,Libre,FOR,Formacion,1,Curso de formación específica,5,5,
***0038**,Nieto,Lozano,Emilio,Libre,EXP,Experiencia profesional,1,Servicios en administración local,4.89,4.89,
***0038**,Nieto,Lozano,Emilio,Libre,EXP,Experiencia profesional,2,Servicios en otra administración,8.83,8.83,
***0038**,Nieto,Lozano,Emilio,Libre,FOR,Formacion,1,Curso de formación específica,2.95,2.95,
***0038**,Nieto,Lozano,Emilio,Libre,FOR,Formacion,2,Titulación adicional,3.75,3.75,
***0059**,Pastor,Pastor,Sara,Libre,EXP,Experiencia profesional,1,Servicios en administración local,6.75,6.75,
***0059**,Pastor,Pastor,Sara,Libre,EXP,Experiencia profesional,2,Servicios en otra administración,6.28,6.28,
***0059**,Pastor,Pastor,Sara,Libre,FOR,Formacion,1,Curso de formación específica,2.22,2.22,
***0059**,Pastor,Pastor,Sara,Libre,FOR,Formacion,2,Titulación adicional,4.82,4.82,
***0054**,Bermejo,Quintana,Manuel,Libre,EXP,Experiencia profesional,1,Servicios en administración local,3.36,3.36,
***0054**,Bermejo,Quintana,Manuel,Libre,EXP,Experiencia profesional,2,Servicios en otra administración,9.53,9.53,
