DNI/NIE,Primer Apellido,Segundo Apellido,Nombre,Turno,Experiencia,Formacion,Total
***0071**,Lozano,Hidalgo,Yago,Libre,19.84,5.25,25.09
***0045**,Uceda,Rubio,Manuel,Libre,16.12,7.93,24.05
***0042**,Navarro,Iglesias,Bruno,Libre,16,7.93,23.93
***0052**,Molina,Valverde,Julia,Libre,18.74,3.57,22.31
***0039**,Ibáñez,Alcalde,Sergio,Libre,19.24,2.93,22.17
***0049**,Valverde,,Rocío,Discapacidad,19.43,1.73,21.16
***0070**,Zamora,Barranco,Nuria,Libre,15.51,5,20.51
***0038**,Nieto,Lozano,Emilio,Libre,13.72,6.7,20.42
***0059**,Pastor,Pastor,Sara,Libre,13.03,7.04,20.07
***0054**,Bermejo,Quintana,Manuel,Libre,12.89,4.39,17.28
***0048**,Castaño,Castaño,Daniel,Libre,10.05,6.91,16.96
***0058**,Jurado,Torralba,Raúl,Libre,14.16,2.05,16.21
***0043**,Guerrero,Guerrero,Gloria,Libre,15.13,0.81,15.94
***0063**,Torralba,Cuevas,Paula,Libre,12.97,2.83,15.8
***0065**,Peñalver,Quintana,Sara,Libre,7.85,7.31,15.16
***0078**,Ferrer,Herrera,Gonzalo,Libre,9.88,4.95,14.83
***0040**,Ortega,Domínguez,Dolores,Libre,11.35,2.49,13.84
***0056**,Ferrer,Navarro,Gonzalo,Discapacidad,13.05,0.47,13.52
***0060**,Redondo,Lozano,Óscar,Libre,7.1,5.57,12.67
***0050**,Aguilera,Uceda,Víctor,Libre,7.91,4.48,12.39
***0068**,Salinas,,Gonzalo,Libre,11.82,0.12,11.94
***0044**,Ferrer,,Marcos,Libre,5.37,6,11.37
***0073**,Rubio,Hidalgo,Fabio,Libre,7.36,3.88,11.24
***0064**,Lozano,Valverde,Raúl,Libre,7.91,3.27,11.18
***0055**,Delgado,Garrido,Fátima,Libre,8.19,2.9,11.09
***0074**,Jurado,Iglesias,Carla,Libre,4.72,5.76,10.48
***0069**,Olmo,Bermejo,Hugo,Libre,6.04,3.47,9.51
***0075**,Quintana,Zamora,Ana,Libre,1.99,7.32,9.31
***0067**,Aguilera,Rubio,Adrián,Libre,8.28,0.95,9.23
***0047**,Cuevas,Molina,Irene,Libre,4.84,4.29,9.13
***0062**,Molina,Rubio,Dolores,Libre,4.85,3.92,8.77
***0057**,Pastor,Torralba,Gonzalo,Discapacidad,4.71,4.02,8.73
***0072**,Bermejo,Barranco,Daniel,Libre,3.29,5.35,8.64
***0046**,Bermejo,Vidal,Iván,Libre,0.43,7.14,7.57
***0077**,Aguilera,Herrera,Bruno,Discapacidad,4.23,2.76,6.99
***0076**,Tejada,Valverde,Irene,Libre,3.89,2.44,6.33
***0061**,Ortega,Tejada,Sara,Libre,3.22,1.88,5.1
***0066**,Redondo,Rubio,Bruno,Libre,0.84,4.23,5.07
***0051**,Iglesias,Valverde,Fabio,Libre,1.21,3.68,4.89
***0041**,Molina,Bermejo,Laura,Libre,0.25,4.18,4.43
***0053**,Zamora,,Víctor,Libre,1.04,0.54,1.58
