DNI/NIE,Primer Apellido,Segundo Apellido,Nombre,Turno,Grupo,Descripcion del grupo,Orden grupo,Descripcion del merito,Puntos autobaremacion,Puntos tribunal,Motivo
***0186**,Guerrero,,Úrsula,Libre,EXP,Experiencia profesional,1,Servicios en administración local,9.08,9.08,
***0186**,Guerrero,,Úrsula,Libre,EXP,Experiencia profesional,2,Servicios en otra administración,10.32,10.32,
***0186**,Guerrero,,Úrsula,Libre,FOR,Formacion,1,Curso de formación específica,2.35,2.35,
***0186**,Guerrero,,Úrsula,Libre,FOR,Formacion,2,Titulación adicional,2.03,2.03,
***0186**,Guerrero,,Úrsula,Libre,FOR,Formacion,3,Jornadas y seminarios,2.78,2.78,
***0210**,Molina,Garrido,Helena,Libre,EXP,Experiencia profesional,1,Servicios en administración local,3.72,3.72,
***0210**,Molina,Garrido,Helena,Libre,EXP,Experiencia profesional,2,Servicios en otra administración,9.6,9.6,
***0210**,Molina,Garrido,Helena,Libre,EXP,Experiencia profesional,3,Servicios en el sector privado,6.17,6.17,
***0210**,Molina,Garrido,Helena,Libre,FOR,Formacion,1,Curso de formación específica,0.06,0.06,
***0210**,Molina,Garrido,Helena,Libre,FOR,Formacion,2,Titulación adicional,1.46,1.46,
***0210**,Molina,Garrido,Helena,Libre,FOR,Formacion,3,Jornadas y seminarios,5,5,
***0211**,Medina,Torralba,Pablo,Libre,EXP,Experiencia profesional,1,Servicios en administración local,9.98,9.98,
***0211**,Medina,Torralba,Pablo,Libre,EXP,Experiencia profesional,2,Servicios en otra administración,6.16,6.16,
***0211**,Medina,Torralba,Pablo,Libre,EXP,Experiencia profesional,3,Servicios en el sector privado,2.6,2.6,
***0211**,Medina,Torralba,Pablo,Libre,FOR,Formacion,1,Curso de formación específica,6.58,6.58,
***0194**,Quintana,,Carla,Libre,EXP,Experiencia profesional,1,Servicios en administración local,18.9,18.9,
***0194**,Quintana,,Carla,Libre,FOR,Formacion,1,Curso de formación específica,6.4,6.4,
***0189**,Ferrer,Cuevas,Nuria,Libre,EXP,Experiencia profesional,1,Servicios en administración local,15.5,15.5,
***0189**,Ferrer,Cuevas,Nuria,Libre,EXP,Experiencia profesional,2,Servicios en otra administración,3,3,
***0189**,Ferrer,Cuevas,Nuria,Libre,FOR,Formacion,1,Curso de formación específica,6.78,6.78,
