DNI/NIE,Primer Apellido,Segundo Apellido,Nombre,Turno,Experiencia,Formacion,Total
***0186**,Guerrero,,Úrsula,Libre,19.4,7.16,26.56
***0210**,Molina,Garrido,Helena,Libre,19.49,6.52,26.01
***0211**,Medina,Torralba,Pablo,Libre,18.74,6.58,25.32
***0194**,Quintana,,Carla,Libre,18.9,6.4,25.3
***0189**,Ferrer,Cuevas,Nuria,Libre,18.5,6.78,25.28
***0195**,Molina,Torralba,Gloria,Discapacidad,13.6,7.74,21.34
***0202**,Jurado,Navarro,Carla,Libre,17.81,2.85,20.66
***0185**,Cuevas,Ortega,Helena,Libre,13.28,6.52,19.8
***0199**,Zamora,Zamora,Elena,Libre,18.26,1.42,19.68
***0193**,Ferrer,Serrano,Ana,Libre,18.39,1.27,19.66
***0190**,Vidal,Olmo,Ximena,Libre,14.36,3.74,18.1
***0203**,Torralba,Molina,Rocío,Libre,12.36,2.69,15.05
***0205**,Castaño,Medina,Víctor,Libre,11.81,3.13,14.94
***0200**,Torralba,Espinosa,Óscar,Libre,8.66,6.18,14.84
***0196**,Barranco,Aguilera,Nuria,Libre,6.74,6.8,13.54
***0191**,Garrido,Valverde,Sergio,Libre,9.85,3.31,13.16
***0213**,Bermejo,Fuentes,Zaira,Libre,7.5,5.56,13.06
***0204**,Lara,Herrera,Jorge,Libre,12.46,0,12.46
***0208**,Tejada,,Zaira,Libre,11.02,0.54,11.56
***0192**,Zamora,Fuentes,Adrián,Discapacidad,4.92,5.91,10.83
***0197**,Castaño,Salinas,Ximena,Libre,7.21,3.1,10.31
***0184**,Iglesias,Ortega,Pablo,Discapacidad,5.89,3.66,9.55
***0212**,Jurado,Salinas,Fátima,Libre,6.45,2.8,9.25
***0187**,Cuevas,Olmo,Iván,Libre,5.29,3.07,8.36
***0198**,Olmo,Tejada,Fabio,Libre,3.32,4.95,8.27
***0183**,Lozano,Iglesias,Lucía,Libre,0.42,7.53,7.95
***0207**,Tejada,Iglesias,Iván,Libre,7.26,0.05,7.31
***0209**,Aguilera,Zamora,Rocío,Libre,6.35,0.36,6.71
***0188**,Vidal,Escudero,Manuel,Libre,4.66,1.68,6.34
***0201**,Fuentes,Hidalgo,Hugo,Libre,2.93,0.38,3.31
***0206**,Uceda,Bermejo,Rocío,Libre,1.25,1.04,2.29
