DNI/NIE,Primer Apellido,Segundo Apellido,Nombre,Turno,Grupo,Descripcion del grupo,Orden grupo,Descripcion del merito,Puntos autobaremacion,Puntos tribunal,Motivo
***0375**,Olmo,Medina,Bruno,Libre,EXP,Experiencia profesional,1,Servicios en administración local,19.37,19.37,
***0375**,Olmo,Medina,Bruno,Libre,EXP,Experiencia profesional,2,Servicios en otra administración,0.16,0.16,
***0375**,Olmo,Medina,Bruno,Libre,FOR,Formacion,1,Curso de formación específica,7.76,7.76,
***0376**,Molina,Jurado,Iván,Libre,EXP,Experiencia profesional,1,Servicios en administración local,8.41,8.41,
***0376**,Molina,Jurado,Iván,Libre,EXP,Experiencia profesional,2,Servicios en otra administración,3.08,3.08,
***0376**,Molina,Jurado,Iván,Libre,EXP,Experiencia profesional,3,Servicios en el sector privado,8.07,8.07,
***0376**,Molina,Jurado,Iván,Libre,FOR,Formacion,1,Curso de formación específica,3.32,3.32,
***0376**,Molina,Jurado,Iván,Libre,FOR,Formacion,2,Titulación adicional,3.62,3.62,
***0376**,Molina,Jurado,Iván,Libre,FOR,Formacion,3,Jornadas y seminarios,0.04,0.04,
***0379**,Torralba,Nieto,Lucía,Libre,EXP,Experiencia profesional,1,Servicios en administración local,7.06,7.06,
***0379**,Torralba,Nieto,Lucía,Libre,EXP,Experiencia profesional,2,Servicios en otra administración,8.1,8.1,
***0379**,Torralba,Nieto,Lucía,Libre,EXP,Experiencia profesional,3,Servicios en el sector privado,2.99,2.99,
***0379**,Torralba,Nieto,Lucía,Libre,FOR,Formacion,1,Curso de formación específica,2.2,2.2,
***0379**,Torralba,Nieto,Lucía,Libre,FOR,Formacion,2,Titulación adicional,0.34,0.34,
***0379**,Torralba,Nieto,Lucía,Libre,FOR,Formacion,3,Jornadas y seminarios,1.85,1.85,
***0352**,Barranco,Espinosa,Julia,Discapacidad,EXP,Experiencia profesional,1,Servicios en administración local,3.07,3.07,
***0352**,Barranco,Espinosa,Julia,Discapacidad,EXP,Experiencia profesional,2,Servicios en otra administración,0.61,0.61,
***0352**,Barranco,Espinosa,Julia,Discapacidad,EXP,Experiencia profesional,3,Servicios en el sector privado,12.99,12.99,
***0352**,Barranco,Espinosa,Julia,Discapacidad,FOR,Formacion,1,Curso de formación específica,0.91,0.91,
***0352**,Barranco,Espinosa,Julia,Discapacidad,FOR,Formacion,2,Titulación adicional,2.33,2.33,
***0352**,Barranco,Espinosa,Julia,Discapacidad,FOR,Formacion,3,Jornadas y seminarios,2.04,2.04,
***0387**,Fuentes,Jurado,Dolores,Libre,EXP,Experiencia profesional,1,Servicios en administración local,4.08,4.08,
***0387**,Fuentes,Jurado,Dolores,Libre,EXP,Experiencia profesional,2,Servicios en otra administración,4.96,4.96,
***0387**,Fuentes,Jurado,Dolores,Libre,EXP,Experiencia profesional,3,Servicios en el sector privado,10.63,10.63,
***0387**,Fuentes,Jurado,Dolores,Libre,FOR,Formacion,1,Curso de formación específica,1.45,1.45,
***0357**,Molina,Ortega,Noelia,Libre,EXP,Experiencia profesional,1,Servicios en administración local,11.15,11.15,
***0357**,Molina,Ortega,Noelia,Libre,EXP,Experiencia profesional,2,Servicios en otra administración,8.26,8.26,
***0357**,Molina,Ortega,Noelia,Libre,FOR,Formacion,1,Curso de formación específica,0.69,0.69,
***0357**,Molina,Ortega,Noelia,Libre,FOR,Formacion,2,Titulación adicional,0.38,0.38,
***0357**,Molina,Ortega,Noelia,Libre,FOR,Formacion,3,Jornadas y seminarios,0.19,0.19,
***0361**,Valverde,Nieto,Beatriz,Libre,EXP,Experiencia profesional,1,Servicios en administración local,18.28,18.28,
***0361**,Valverde,Nieto,Beatriz,Libre,FOR,Formacion,1,Curso de formación específica,1.31,1.31,
***0361**,Valverde,Nieto,Beatriz,Libre,FOR,Formacion,2,Titulación adicional,0.91,0.91,
