DNI/NIE,Primer Apellido,Segundo Apellido,Nombre,Turno,Experiencia,Formacion,Total
***0375**,Olmo,Medina,Bruno,Libre,19.53,7.76,27.29
***0376**,Molina,Jurado,Iván,Libre,19.56,6.98,26.54
***0379**,Torralba,Nieto,Lucía,Libre,18.15,4.39,22.54
***0352**,Barranco,Espinosa,Julia,Discapacidad,16.67,5.28,21.95
***0387**,Fuentes,Jurado,Dolores,Libre,19.67,1.45,21.12
***0357**,Molina,Ortega,Noelia,Libre,19.41,1.26,20.67
***0361**,Valverde,Nieto,Beatriz,Libre,18.28,2.22,20.5
***0377**,Ibáñez,Herrera,Tomás,Discapacidad,19.78,0.41,20.19
***0369**,Lara,Alcalde,Iván,Libre,16.67,3.51,20.18
***0383**,Hidalgo,Ibáñez,Helena,Libre,14.87,4.34,19.21
***0364**,Delgado,Castaño,Sara,Libre,19.05,0.1,19.15
***0389**,Serrano,Redondo,Irene,Libre,14.58,3.83,18.41
***0356**,Vidal,Molina,Ximena,Libre,16.48,1.82,18.3
***0363**,Fuentes,Garrido,Elena,Libre,12.01,5.25,17.26
***0365**,Castaño,Nieto,Manuel,Libre,8.85,7.97,16.82
***0371**,Castaño,Valverde,Manuel,Libre,13.43,3.08,16.51
***0373**,Garrido,Uceda,Irene,Libre,14.05,1.27,15.32
***0381**,Aguilera,Bermejo,Elena,Libre,14.99,0.3,15.29
***0359**,Guerrero,Ibáñez,Kevin,Libre,6.14,7.52,13.66
***0388**,Hidalgo,Medina,Lucía,Libre,5.76,7.13,12.89
***0362**,Castaño,Uceda,Beatriz,Libre,11.57,1.23,12.8
***0349**,Aguilera,Hidalgo,Helena,Libre,9.6,2.15,11.75
***0374**,Herrera,Cuevas,Carla,Libre,8.36,2.72,11.08
***0358**,Tejada,Bermejo,Kevin,Libre,9.84,1.13,10.97
***0378**,Medina,Olmo,Óscar,Libre,4.56,6.14,10.7
***0366**,Medina,,Daniel,Libre,8.08,2.03,10.11
***0350**,Peñalver,Uceda,Raúl,Libre,4.54,5.52,10.06
***0370**,Ibáñez,Serrano,Paula,Libre,2.74,6.11,8.85
***0390**,Salinas,Vidal,Marcos,Libre,3.85,4.87,8.72
***0384**,Domínguez,Hidalgo,Noelia,Libre,4.64,3.88,8.52
***0382**,Peñalver,Hidalgo,Ana,Libre,3.55,4.06,7.61
***0351**,Molina,Castaño,Úrsula,Libre,6.45,0.22,6.67
***0367**,Salinas,Olmo,Úrsula,Libre,5.69,0.71,6.4
***0355**,Zamora,Barranco,Ana,Libre,4.34,1.77,6.11
***0360**,Bermejo,Lozano,Manuel,Libre,4.56,1.1,5.66
***0354**,Jurado,Bermejo,Kevin,Libre,3.14,2.36,5.5
***0353**,Medina,Vidal,Úrsula,Libre,1.94,3.18,5.12
***0385**,Nieto,Bermejo,Helena,Libre,0.3,4.8,5.1
***0372**,Ibáñez,Ibáñez,Óscar,Libre,1.25,3.62,4.87
***0380**,Olmo,Jurado,Úrsula,Libre,1.44,0.27,1.71
***0386**,Fuentes,Rubio,Jorge,Libre,1.18,0.05,1.23
***0368**,Espinosa,Garrido,Daniel,Libre,0.05,0.69,0.74
