DNI/NIE,Primer Apellido,Segundo Apellido,Nombre,Turno,Grupo,Descripcion del grupo,Orden grupo,Descripcion del merito,Puntos autobaremacion,Puntos tribunal,Motivo
***0034**,Medina,Nieto,Claudio,Libre,EXP,Experiencia profesional,1,Servicios en administración local,12.93,12.93,
***0034**,Medina,Nieto,Claudio,Libre,EXP,Experiencia profesional,2,Servicios en otra administración,6.67,6.67,
***0034**,Medina,Nieto,Claudio,Libre,FOR,Formacion,1,Curso de formación específica,5.15,5.15,
***0031**,Vidal,Navarro,Adrián,Libre,EXP,Experiencia profesional,1,Servicios en administración local,3.95,3.95,
***0031**,Vidal,Navarro,Adrián,Libre,EXP,Experiencia profesional,2,Servicios en otra administración,10.34,10.34,
***0031**,Vidal,Navarro,Adrián,Libre,EXP,Experiencia profesional,3,Servicios en el sector privado,4.98,4.98,
***0031**,Vidal,Navarro,Adrián,Libre,FOR,Formacion,1,Curso de formación específica,0.41,0.41,
***0031**,Vidal,Navarro,Adrián,Libre,FOR,Formacion,2,Titulación adicional,3.42,3.42,
***0031**,Vidal,Navarro,Adrián,Libre,FOR,Formacion,3,Jornadas y seminarios,1.53,1.53,
***0022**,Peñalver,Ibáñez,Carla,Libre,EXP,Experiencia profesional,1,Servicios en administración local,7.87,7.87,
***0022**,Peñalver,Ibáñez,Carla,Libre,EXP,Experiencia profesional,2,Servicios en otra administración,7.48,7.48,
***0022**,Peñalver,Ibáñez,Carla,Libre,EXP,Experiencia profesional,3,Servicios en el sector privado,2.14,2.14,
***0022**,Peñalver,Ibáñez,Carla,Libre,FOR,Formacion,1,Curso de formación específica,6.51,6.51,
***0036**,Herrera,,Víctor,Libre,EXP,Experiencia profesional,1,Servicios en administración local,12.36,12.36,
***0036**,Herrera,,Víctor,Libre,EXP,Experiencia profesional,2,Servicios en otra administración,2.71,2.71,
***0036**,Herrera,,Víctor,Libre,FOR,Formacion,1,Curso de formación específica,2.04,2.04,
***0036**,Herrera,,Víctor,Libre,FOR,Formacion,2,Titulación adicional,5.65,5.65,
***0010**,Ferrer,Redondo,Pablo,Libre,EXP,Experiencia profesional,1,Servicios en administración local,18.07,18.07,
***0010**,Ferrer,Redondo,Pablo,Libre,FOR,Formacion,1,Curso de formación específica,2.27,2.27,
***0010**,Ferrer,Redondo,Pablo,Libre,FOR,Formacion,2,Titulación adicional,2.34,2.34,
***0037**,Torralba,Castaño,Raúl,Libre,EXP,Experiencia profesional,1,Servicios en administración local,6.49,6.49,
***0037**,Torralba,Castaño,Raúl,Libre,EXP,Experiencia profesional,2,Servicios en otra administración,10.1,10.1,
***0037**,Torralba,Castaño,Raúl,Libre,FOR,Formacion,1,Curso de formación específica,1.37,1.37,
***0037**,Torralba,Castaño,Raúl,Libre,FOR,Formacion,2,Titulación adicional,1.44,1.44,
***0037**,Torralba,Castaño,Raúl,Libre,FOR,Formacion,3,Jornadas y seminarios,1.68,1.68,
***0008**,Guerrero,Salinas,Claudio,Libre,EXP,Experiencia profesional,1,Servicios en administración local,8.18,8.18,
***0008**,Guerrero,Salinas,Claudio,Libre,EXP,Experiencia profesional,2,Servicios en otra administración,5.28,5.28,
***0008**,Guerrero,Salinas,Claudio,Libre,EXP,Experiencia profesional,3,Servicios en el sector privado,2.39,2.39,
***0008**,Guerrero,Salinas,Claudio,Libre,FOR,Formacion,1,Curso de formación específica,3.75,3.75,
***0026**,Serrano,,Raúl,Libre,EXP,Experiencia profesional,1,Servicios en administración local,15.56,15.56,
***0026**,Serrano,,Raúl,Libre,FOR,Formacion,1,Curso de formación específica,2.39,2.39,
***0026**,Serrano,,Raúl,Libre,FOR,Formacion,2,Titulación adicional,0.93,0.93,
***0025**,Nieto,Escudero,Carla,Libre,EXP,Experiencia profesional,1,Servicios en administración local,7.26,7.26,
***0025**,Nieto,Escudero,Carla,Libre,EXP,Experiencia profesional,2,Servicios en otra administración,7.93,7.93,
***0025**,Nieto,Escudero,Carla,Libre,FOR,Formacion,1,Curso de formación específica,0.41,0.41,
***0025**,Nieto,Escudero,Carla,Libre,FOR,Formacion,2,Titulación adicional,3.04,3.04,
***0012**,Navarro,Pastor,Elena,Libre,EXP,Experiencia profesional,1,Servicios en administración local,1.49,1.49,
***0012**,Navarro,Pastor,Elena,Libre,EXP,Experiencia profesional,2,Servicios en otra administración,15.41,15.41,
***0012**,Navarro,Pastor,Elena,Libre,FOR,Formacion,1,Curso de formación específica,0.21,0.21,
