DNI/NIE,Primer Apellido,Segundo Apellido,Nombre,Turno,Experiencia,Formacion,Total
***0034**,Medina,Nieto,Claudio,Libre,19.6,5.15,24.75
***0031**,Vidal,Navarro,Adrián,Libre,19.27,5.36,24.63
***0022**,Peñalver,Ibáñez,Carla,Libre,17.49,6.51,24
***0036**,Herrera,,Víctor,Libre,15.07,7.69,22.76
***0010**,Ferrer,Redondo,Pablo,Libre,18.07,4.61,22.68
***0037**,Torralba,Castaño,Raúl,Libre,16.59,4.49,21.08
***0008**,Guerrero,Salinas,Claudio,Libre,15.85,3.75,19.6
***0026**,Serrano,,Raúl,Libre,15.56,3.32,18.88
***0025**,Nieto,Escudero,Carla,Libre,15.19,3.45,18.64
***0012**,Navarro,Pastor,Elena,Libre,16.9,1.18,18.08
***0030**,Vidal,Rubio,Claudio,Libre,15.61,1.49,17.1
***0003**,Alcalde,Vidal,Iván,Libre,10.55,6.33,16.88
***0027**,Ibáñez,Fuentes,Sergio,Libre,14.88,1.78,16.66
***0007**,Ortega,Garrido,Marcos,Libre,11.78,4.41,16.19
***0013**,Hidalgo,,Paula,Libre,8.33,7.51,15.84
***0015**,Torralba,Salinas,Carla,Libre,9.7,6.04,15.74
***0021**,Bermejo,Salinas,Ximena,Libre,13.97,1.52,15.49
***0016**,Torralba,Guerrero,Dolores,Libre,13.74,0.45,14.19
***0019**,Domínguez,Torralba,Helena,Libre,8.36,4.28,12.64
***0020**,Cuevas,Garrido,Zaira,Libre,8.71,2.39,11.1
***0014**,Lozano,Aguilera,Ana,Libre,10.77,0.12,10.89
***0006**,Uceda,Fuentes,Ana,Libre,3.19,6.83,10.02
***0004**,Hidalgo,Cuevas,Dolores,Libre,7.66,1.93,9.59
***0011**,Olmo,Torralba,Ximena,Libre,2.84,6.44,9.28
***0033**,Delgado,Garrido,Pablo,Libre,1.74,6.98,8.72
***0023**,Nieto,Escudero,Fátima,Libre,1.8,6.39,8.19
***0002**,Barranco,Cuevas,Claudio,Libre,3.02,4.62,7.64
***0018**,Peñalver,,Paula,Libre,3.55,2.63,6.18
***0024**,Nieto,Ferrer,Úrsula,Libre,2.26,3.65,5.91
***0009**,Peñalver,Barranco,Jorge,Libre,0.28,5.61,5.89
***0001**,Redondo,Alcalde,Víctor,Libre,2.86,2.98,5.84
***0017**,Iglesias,Aguilera,Pablo,Libre,0.55,4.47,5.02
***0035**,Garrido,Escudero,Rocío,Libre,0.23,3.9,4.13
***0028**,Jurado,Torralba,Yago,Libre,1.29,2.83,4.12
***0029**,Tejada,Guerrero,Bruno,Libre,2.29,1.67,3.96
***0005**,Delgado,,Gloria,Libre,0.6,2.18,2.78
***0032**,Jurado,Zamora,Ximena,Libre,0.54,2.09,2.63
