DNI/NIE,Primer Apellido,Segundo Apellido,Nombre,Turno,Grupo,Descripcion del grupo,Orden grupo,Descripcion del merito,Puntos autobaremacion,Puntos tribunal,Motivo
***0231**,Vidal,Delgado,Helena,Discapacidad,EXP,Experiencia profesional,1,Servicios en administración local,7.17,7.17,
***0231**,Vidal,Delgado,Helena,Discapacidad,EXP,Experiencia profesional,2,Servicios en otra administración,2.54,2.54,
***0231**,Vidal,Delgado,Helena,Discapacidad,EXP,Experiencia profesional,3,Servicios en el sector privado,9.74,9.74,
***0231**,Vidal,Delgado,Helena,Discapacidad,FOR,Formacion,1,Curso de formación específica,6.1,6.1,
***0239**,Valverde,Guerrero,Fátima,Libre,EXP,Experiencia profesional,1,Servicios en administración local,8.96,8.96,
***0239**,Valverde,Guerrero,Fátima,Libre,EXP,Experiencia profesional,2,Servicios en otra administración,10.24,10.24,
***0239**,Valverde,Guerrero,Fátima,Libre,FOR,Formacion,1,Curso de formación específica,5.85,5.85,
***0253**,Hidalgo,Ibáñez,Tomás,Libre,EXP,Experiencia profesional,1,Servicios en administración local,6.16,6.16,
***0253**,Hidalgo,Ibáñez,Tomás,Libre,EXP,Experiencia profesional,2,Servicios en otra administración,12.91,12.91,
***0253**,Hidalgo,Ibáñez,Tomás,Libre,FOR,Formacion,1,Curso de formación específica,5.49,5.49,
***0251**,Castaño,Pastor,Emilio,Libre,EXP,Experiencia profesional,1,Servicios en administración local,11.14,11.14,
***0251**,Castaño,Pastor,Emilio,Libre,EXP,Experiencia profesional,2,Servicios en otra administración,2.58,2.58,
***0251**,Castaño,Pastor,Emilio,Libre,EXP,Experiencia profesional,3,Servicios en el sector privado,3.26,3.26,
***0251**,Castaño,Pastor,Emilio,Libre,FOR,Formacion,1,Curso de formación específica,4.85,4.85,
***0251**,Castaño,Pastor,Emilio,Libre,FOR,Formacion,2,Titulación adicional,1.85,1.85,
***0245**,Fuentes,,Kevin,Libre,EXP,Experiencia profesional,1,Servicios en administración local,19.7,19.7,
***0245**,Fuentes,,Kevin,Libre,FOR,Formacion,1,Curso de formación específica,1.62,1.62,
***0245**,Fuentes,,Kevin,Libre,FOR,Formacion,2,Titulación adicional,0.63,0.63,
***0248**,Zamora,Herrera,Yago,Libre,EXP,Experiencia profesional,1,Servicios en administración local,1.99,1.99,
***0248**,Zamora,Herrera,Yago,Libre,EXP,Experiencia profesional,2,Servicios en otra administración,12.61,12.61,
***0248**,Zamora,Herrera,Yago,Libre,FOR,Formacion,1,Curso de formación específica,6.69,6.69,
***0230**,Nieto,Vidal,Yago,Libre,EXP,Experiencia profesional,1,Servicios en administración local,10.98,10.98,
***0230**,Nieto,Vidal,Yago,Libre,EXP,Experiencia profesional,2,Servicios en otra administración,6.49,6.49,
***0230**,Nieto,Vidal,Yago,Libre,FOR,Formacion,1,Curso de formación específica,3.8,3.8,
***0244**,Peñalver,Serrano,Tomás,Libre,EXP,Experiencia profesional,1,Servicios en administración local,4.73,4.73,
***0244**,Peñalver,Serrano,Tomás,Libre,EXP,Experiencia profesional,2,Servicios en otra administración,0.98,0.98,
***0244**,Peñalver,Serrano,Tomás,Libre,EXP,Experiencia profesional,3,Servicios en el sector privado,7.99,7.99,
***0244**,Peñalver,Serrano,Tomás,Libre,FOR,Formacion,1,Curso de formación específica,2.83,2.83,
***0244**,Peñalver,Serrano,Tomás,Libre,FOR,Formacion,2,Titulación adicional,1.92,1.92,
***0244**,Peñalver,Serrano,Tomás,Libre,FOR,Formacion,3,Jornadas y seminarios,2.54,2.54,
***0219**,Medina,Quintana,Hugo,Libre,EXP,Experiencia profesional,1,Servicios en administración local,4.33,4.33,
***0219**,Medina,Quintana,Hugo,Libre,EXP,Experiencia profesional,2,Servicios en otra administración,8.76,8.76,
***0219**,Medina,Quintana,Hugo,Libre,EXP,Experiencia profesional,3,Servicios en el sector privado,2.91,2.91,
***0219**,Medina,Quintana,Hugo,Libre,FOR,Formacion,1,Curso de formación específica,4.62,4.62,
***0219**,Medina,Quintana,Hugo,Libre,FOR,Formacion,2,Titulación adicional,0.33,0.33,
***0246**,Bermejo,Lara,Claudio,Libre,EXP,Experiencia profesional,1,Servicios en administración local,2.6,2.6,
***0246**,Bermejo,Lara,Claudio,Libre,EXP,Experiencia profesional,2,Servicios en otra administración,0.81,0.81,
***0246**,Bermejo,Lara,Claudio,Libre,EXP,Experiencia profesional,3,Servicios en el sector privado,15.66,15.66,
***0246**,Bermejo,Lara,Claudio,Libre,FOR,Formacion,1,Curso de formación específica,0.79,0.79,
***0246**,Bermejo,Lara,Claudio,Libre,FOR,Formacion,2,Titulación adicional,0.78,0.78,
***0249**,Molina,Quintana,Emilio,Libre,EXP,Experiencia profesional,1,Servicios en administración local,0.08,0.08,
***0249**,Molina,Quintana,Emilio,Libre,EXP,Experiencia profesional,2,Servicios en otra administración,8.73,8.73,
***0249**,Molina,Quintana,Emilio,Libre,EXP,Experiencia profesional,3,Servicios en el sector privado,9.25,9.25,
***0249**,Molina,Quintana,Emilio,Libre,FOR,Formacion,1,Curso de formación específica,2.09,2.09,
***0234**,Pastor,,Claudio,Libre,EXP,Experiencia profesional,1,Servicios en administración local,3.2,3.2,
***0234**,Pastor,,Claudio,Libre,EXP,Experiencia profesional,2,Servicios en otra administración,1.24,1.24,
***0234**,Pastor,,Claudio,Libre,EXP,Experiencia profesional,3,Servicios en el sector privado,8.34,8.34,
***0234**,Pastor,,Claudio,Libre,FOR,Formacion,1,Curso de formación específica,6.42,6.42,
***0218**,Espinosa,Peñalver,Sergio,Libre,EXP,Experiencia profesional,1,Servicios en administración local,13.15,13.15,
***0218**,Espinosa,Peñalver,Sergio,Libre,EXP,Experiencia profesional,2,Servicios en otra administración,3.3,3.3,
***0218**,Espinosa,Peñalver,Sergio,Libre,FOR,Formacion,1,Curso de formación específica,1.08,1.08,
***0218**,Espinosa,Peñalver,Sergio,Libre,FOR,Formacion,2,Titulación adicional,1.57,1.57,
***0218**,Espinosa,Peñalver,Sergio,Libre,FOR,Formacion,3,Jornadas y seminarios,0.09,0.09,
***0217**,Lozano,Lozano,Irene,Libre,EXP,Experiencia profesional,1,Servicios en administración local,11.4,11.4,
***0217**,Lozano,Lozano,Irene,Libre,FOR,Formacion,1,Curso de formación específica,2.73,2.73,
***0217**,Lozano,Lozano,Irene,Libre,FOR,Formacion,2,Titulación adicional,0.1,0.1,
***0217**,Lozano,Lozano,Irene,Libre,FOR,Formacion,3,Jornadas y seminarios,4.64,4.64,
***0229**,Castaño,Hidalgo,Daniel,Libre,EXP,Experiencia profesional,1,Servicios en administración local,7.22,7.22,
***0229**,Castaño,Hidalgo,Daniel,Libre,EXP,Experiencia profesional,2,Servicios en otra administración,6.79,6.79,
***0229**,Castaño,Hidalgo,Daniel,Libre,FOR,Formacion,1,Curso de formación específica,3.71,3.71,
***0229**,Castaño,Hidalgo,Daniel,Libre,FOR,Formacion,2,Titulación adicional,0.88,0.88,
***0221**,Aguilera,,Irene,Libre,EXP,Experiencia profesional,1,Servicios en administración local,16.06,16.06,
***0221**,Aguilera,,Irene,Libre,FOR,Formacion,1,Curso de formación específica,2.4,2.4,
***0235**,Rubio,Peñalver,Yago,Libre,EXP,Experiencia profesional,1,Servicios en administración local,10.11,10.11,
***0235**,Rubio,Peñalver,Yago,Libre,FOR,Formacion,1,Curso de formación específica,7.94,7.94,
***0241**,Fuentes,Tejada,Gloria,Libre,EXP,Experiencia profesional,1,Servicios en administración local,3.08,3.08,
***0241**,Fuentes,Tejada,Gloria,Libre,EXP,Experiencia profesional,2,Servicios en otra administración,10.64,10.64,
***0241**,Fuentes,Tejada,Gloria,Libre,FOR,Formacion,1,Curso de formación específica,0.17,0.17,
***0241**,Fuentes,Tejada,Gloria,Libre,FOR,Formacion,2,Titulación adicional,1.49,1.49,
***0241**,Fuentes,Tejada,Gloria,Libre,FOR,Formacion,3,Jornadas y seminarios,1.84,1.84,
***0233**,Escudero,,Claudio,Libre,EXP,Experiencia profesional,1,Servicios en administración local,5.28,5.28,
***0233**,Escudero,,Claudio,Libre,EXP,Experiencia profesional,2,Servicios en otra administración,6.05,6.05,
***0233**,Escudero,,Claudio,Libre,EXP,Experiencia profesional,3,Servicios en el sector privado,1.19,1.19,
***0233**,Escudero,,Claudio,Libre,FOR,Formacion,1,Curso de formación específica,4.42,4.42,
***0242**,Uceda,Navarro,Bruno,Libre,EXP,Experiencia profesional,1,Servicios en administración local,9.98,9.98,
***0242**,Uceda,Navarro,Bruno,Libre,FOR,Formacion,1,Curso de formación específica,0.99,0.99,
***0242**,Uceda,Navarro,Bruno,Libre,FOR,Formacion,2,Titulación adicional,2.85,2.85,
***0242**,Uceda,Navarro,Bruno,Libre,FOR,Formacion,3,Jornadas y seminarios,2.72,2.72,
***0237**,Herrera,Herrera,Rocío,Libre,EXP,Experiencia profesional,1,Servicios en administración local,2.01,2.01,
***0237**,Herrera,Herrera,Rocío,Libre,EXP,Experiencia profesional,2,Servicios en otra administración,3.5,3.5,
***0237**,Herrera,Herrera,Rocío,Libre,EXP,Experiencia profesional,3,Servicios en el sector privado,5.7,5.7,
***0237**,Herrera,Herrera,Rocío,Libre,FOR,Formacion,1,Curso de formación específica,5.08,5.08,
***0215**,Iglesias,,Irene,Libre,EXP,Experiencia profesional,1,Servicios en administración local,5.29,5.29,
***0215**,Iglesias,,Irene,Libre,EXP,Experiencia profesional,2,Servicios en otra administración,3.54,3.54,
***0215**,Iglesias,,Irene,Libre,FOR,Formacion,1,Curso de formación específica,0.02,0.02,
***0215**,Iglesias,,Irene,Libre,FOR,Formacion,2,Titulación adicional,2.32,2.32,
***0215**,Iglesias,,Irene,Libre,FOR,Formacion,3,Jornadas y seminarios,3.64,3.64,
***0222**,Torralba,Molina,Úrsula,Libre,EXP,Experiencia profesional,1,Servicios en administración local,8.17,8.17,
***0222**,Torralba,Molina,Úrsula,Libre,FOR,Formacion,1,Curso de formación específica,1.43,1.43,
***0222**,Torralba,Molina,Úrsula,Libre,FOR,Formacion,2,Titulación adicional,1.48,1.48,
***0222**,Torralba,Molina,Úrsula,Libre,FOR,Formacion,3,Jornadas y seminarios,3.64,3.64,
***0220**,Salinas,Salinas,Gloria,Libre,EXP,Experiencia profesional,1,Servicios en administración local,6.16,6.16,
***0220**,Salinas,Salinas,Gloria,Libre,EXP,Experiencia profesional,2,Servicios en otra administración,0.13,0.13,
***0220**,Salinas,Salinas,Gloria,Libre,FOR,Formacion,1,Curso de formación específica,7.15,7.15,
***0220**,Salinas,Salinas,Gloria,Libre,FOR,Formacion,2,Titulación adicional,0.8,0.8,
