DNI/NIE,Primer Apellido,Segundo Apellido,Nombre,Turno,Experiencia,Formacion,Total
***0231**,Vidal,Delgado,Helena,Discapacidad,19.45,6.1,25.55
***0239**,Valverde,Guerrero,Fátima,Libre,19.2,5.85,25.05
***0253**,Hidalgo,Ibáñez,Tomás,Libre,19.07,5.49,24.56
***0251**,Castaño,Pastor,Emilio,Libre,16.98,6.7,23.68
***0245**,Fuentes,,Kevin,Libre,19.7,2.25,21.95
***0248**,Zamora,Herrera,Yago,Libre,14.6,6.69,21.29
***0230**,Nieto,Vidal,Yago,Libre,17.47,3.8,21.27
***0244**,Peñalver,Serrano,Tomás,Libre,13.7,7.29,20.99
***0219**,Medina,Quintana,Hugo,Libre,16,4.95,20.95
***0246**,Bermejo,Lara,Claudio,Libre,19.07,1.57,20.64
***0249**,Molina,Quintana,Emilio,Libre,18.06,2.09,20.15
***0234**,Pastor,,Claudio,Libre,12.78,6.42,19.2
***0218**,Espinosa,Peñalver,Sergio,Libre,16.45,2.74,19.19
***0217**,Lozano,Lozano,Irene,Libre,11.4,7.47,18.87
***0229**,Castaño,Hidalgo,Daniel,Libre,14.01,4.59,18.6
***0221**,Aguilera,,Irene,Libre,16.06,2.4,18.46
***0235**,Rubio,Peñalver,Yago,Libre,10.11,7.94,18.05
***0241**,Fuentes,Tejada,Gloria,Libre,13.72,3.5,17.22
***0233**,Escudero,,Claudio,Libre,12.52,4.42,16.94
***0242**,Uceda,Navarro,Bruno,Libre,9.98,6.56,16.54
***0237**,Herrera,Herrera,Rocío,Libre,11.21,5.08,16.29
***0215**,Iglesias,,Irene,Libre,8.83,5.98,14.81
***0222**,Torralba,Molina,Úrsula,Libre,8.17,6.55,14.72
***0220**,Salinas,Salinas,Gloria,Libre,6.29,7.95,14.24
***0236**,Serrano,Fuentes,Jorge,Libre,9.88,3.96,13.84
***0226**,Zamora,Ortega,Hugo,Libre,9.76,3.9,13.66
***0227**,Ortega,Zamora,Ximena,Libre,4.72,7.81,12.53
***0224**,Zamora,Escudero,Adrián,Libre,8.54,3.93,12.47
***0243**,Guerrero,,Claudio,Libre,8.76,3.36,12.12
***0223**,Jurado,Alcalde,Ana,Libre,3.85,6.88,10.73
***0238**,Bermejo,Serrano,Lucía,Libre,7.99,1.54,9.53
***0247**,Peñalver,Olmo,Claudio,Libre,5.45,3.89,9.34
***0232**,Fuentes,,Julia,Libre,3.84,4.63,8.47
***0250**,Iglesias,Vidal,Gonzalo,Libre,4.22,4,8.22
***0252**,Medina,Ibáñez,Zaira,Libre,6.84,0.43,7.27
***0214**,Jurado,Lozano,Dolores,Libre,1.79,4.73,6.52
***0216**,Vidal,Peñalver,Tomás,Libre,0.05,6.17,6.22
***0228**,Tejada,Medina,Jorge,Libre,2.33,2.45,4.78
***0225**,Fuentes,Aguilera,Dolores,Libre,1.42,1.19,2.61
***0240**,Pastor,Barranco,Víctor,Libre,1.01,0.27,1.28
