DNI/NIE,Primer Apellido,Segundo Apellido,Nombre,Turno,Grupo,Descripcion del grupo,Orden grupo,Descripcion del merito,Puntos autobaremacion,Puntos tribunal,Motivo
***0345**,Uceda,Barranco,Sara,Libre,EXP,Experiencia profesional,1,Servicios en administración local,5.29,5.29,
***0345**,Uceda,Barranco,Sara,Libre,EXP,Experiencia profesional,2,Servicios en otra administración,5.87,5.87,
***0345**,Uceda,Barranco,Sara,Libre,EXP,Experiencia profesional,3,Servicios en el sector privado,6.71,6.71,
***0345**,Uceda,Barranco,Sara,Libre,FOR,Formacion,1,Curso de formación específica,1.97,1.97,
***0345**,Uceda,Barranco,Sara,Libre,FOR,Formacion,2,Titulación adicional,2.38,2.38,
***0345**,Uceda,Barranco,Sara,Libre,FOR,Formacion,3,Jornadas y seminarios,2.67,2.67,
***0326**,Molina,,Hugo,Libre,EXP,Experiencia profesional,1,Servicios en administración local,3.22,3.22,
***0326**,Molina,,Hugo,Libre,EXP,Experiencia profesional,2,Servicios en otra administración,7.61,7.61,
***0326**,Molina,,Hugo,Libre,EXP,Experiencia profesional,3,Servicios en el sector privado,3.22,3.22,
***0326**,Molina,,Hugo,Libre,FOR,Formacion,1,Curso de formación específica,6.81,6.81,
***0340**,Guerrero,Redondo,Tomás,Libre,EXP,Experiencia profesional,1,Servicios en administración local,14.42,14.42,
***0340**,Guerrero,Redondo,Tomás,Libre,FOR,Formacion,1,Curso de formación específica,3.29,3.29,
***0327**,Delgado,Uceda,Helena,Libre,EXP,Experiencia profesional,1,Servicios en administración local,5,5,
***0327**,Delgado,Uceda,Helena,Libre,EXP,Experiencia profesional,2,Servicios en otra administración,6.95,6.95,
***0327**,Delgado,Uceda,Helena,Libre,EXP,Experiencia profesional,3,Servicios en el sector privado,2.99,2.99,
***0327**,Delgado,Uceda,Helena,Libre,FOR,Formacion,1,Curso de formación específica,0.97,0.97,
***0327**,Delgado,Uceda,Helena,Libre,FOR,Formacion,2,Titulación adicional,0.89,0.89,
***0327**,Delgado,Uceda,Helena,Libre,FOR,Formacion,3,Jornadas y seminarios,0.44,0.44,
***0335**,Herrera,Aguilera,Úrsula,Libre,EXP,Experiencia profesional,1,Servicios en administración local,0.59,0.59,
***0335**,Herrera,Aguilera,Úrsula,Libre,EXP,Experiencia profesional,2,Servicios en otra administración,16.16,16.16,
***0335**,Herrera,Aguilera,Úrsula,Libre,FOR,Formacion,1,Curso de formación específica,0.49,0.49,
***0337**,Lara,Aguilera,Bruno,Libre,EXP,Experiencia profesional,1,Servicios en administración local,14.43,14.43,
***0337**,Lara,Aguilera,Bruno,Libre,EXP,Experiencia profesional,2,Servicios en otra administración,2.05,2.05,
***0337**,Lara,Aguilera,Bruno,Libre,FOR,Formacion,1,Curso de formación específica,0.35,0.35,
***0347**,Vidal,Navarro,Pablo,Libre,EXP,Experiencia profesional,1,Servicios en administración local,4.79,4.79,
***0347**,Vidal,Navarro,Pablo,Libre,EXP,Experiencia profesional,2,Servicios en otra administración,4.75,4.75,
***0347**,Vidal,Navarro,Pablo,Libre,FOR,Formacion,1,Curso de formación específica,6.42,6.42,
***0342**,Ortega,Ferrer,Fátima,Libre,EXP,Experiencia profesional,1,Servicios en administración local,9.53,9.53,
***0342**,Ortega,Ferrer,Fátima,Libre,EXP,Experiencia profesional,2,Servicios en otra administración,1.83,1.83,
***0342**,Ortega,Ferrer,Fátima,Libre,FOR,Formacion,1,Curso de formación específica,4.02,4.02,
***0328**,Guerrero,Delgado,Paula,Libre,EXP,Experiencia profesional,1,Servicios en administración local,12.99,12.99,
***0328**,Guerrero,Delgado,Paula,Libre,FOR,Formacion,1,Curso de formación específica,0.9,0.9,
***0328**,Guerrero,Delgado,Paula,Libre,FOR,Formacion,2,Titulación adicional,1.29,1.29,
***0332**,Zamora,Iglesias,Úrsula,Libre,EXP,Experiencia profesional,1,Servicios en administración local,5.76,5.76,
***0332**,Zamora,Iglesias,Úrsula,Libre,EXP,Experiencia profesional,2,Servicios en otra administración,3.79,3.79,
***0332**,Zamora,Iglesias,Úrsula,Libre,FOR,Formacion,1,Curso de formación específica,2.39,2.39,
***0332**,Zamora,Iglesias,Úrsula,Libre,FOR,Formacion,2,Titulación adicional,1.77,1.77,
***0332**,Zamora,Iglesias,Úrsula,Libre,FOR,Formacion,3,Jornadas y seminarios,1.02,1.02,
***0344**,Rubio,Barranco,Ana,Libre,EXP,Experiencia profesional,1,Servicios en administración local,14.12,14.12,
***0344**,Rubio,Barranco,Ana,Libre,FOR,Formacion,1,Curso de formación específica,0.38,0.38,
***0330**,Vidal,Garrido,Tomás,Libre,EXP,Experiencia profesional,1,Servicios en administración local,2.87,2.87,
***0330**,Vidal,Garrido,Tomás,Libre,EXP,Experiencia profesional,2,Servicios en otra administración,5.19,5.19,
***0330**,Vidal,Garrido,Tomás,Libre,EXP,Experiencia profesional,3,Servicios en el sector privado,2.76,2.76,
***0330**,Vidal,Garrido,Tomás,Libre,FOR,Formacion,1,Curso de formación específica,3.28,3.28,
***0334**,Espinosa,,Lucía,Libre,EXP,Experiencia profesional,1,Servicios en administración local,0.48,0.48,
***0334**,Espinosa,,Lucía,Libre,EXP,Experiencia profesional,2,Servicios en otra administración,6.43,6.43,
***0334**,Espinosa,,Lucía,Libre,EXP,Experiencia profesional,3,Servicios en el sector privado,6.47,6.47,
***0334**,Espinosa,,Lucía,Libre,FOR,Formacion,1,Curso de formación específica,0.16,0.16,
***0334**,Espinosa,,Lucía,Libre,FOR,Formacion,2,Titulación adicional,0.23,0.23,
***0336**,Tejada,Nieto,Ana,Libre,EXP,Experiencia profesional,1,Servicios en administración local,8.88,8.88,
***0336**,Tejada,Nieto,Ana,Libre,FOR,Formacion,1,Curso de formación específica,2.67,2.67,
***0336**,Tejada,Nieto,Ana,Libre,FOR,Formacion,2,Titulación adicional,1.57,1.57,
***0348**,Cuevas,Hidalgo,Gloria,Libre,EXP,Experiencia profesional,1,Servicios en administración local,2.57,2.57,
***0348**,Cuevas,Hidalgo,Gloria,Libre,EXP,Experiencia profesional,2,Servicios en otra administración,3.36,3.36,
***0348**,Cuevas,Hidalgo,Gloria,Libre,EXP,Experiencia profesional,3,Servicios en el sector privado,4.81,4.81,
***0348**,Cuevas,Hidalgo,Gloria,Libre,FOR,Formacion,1,Curso de formación específica,0.51,0.51,
***0348**,Cuevas,Hidalgo,Gloria,Libre,FOR,Formacion,2,Titulación adicional,1.49,1.49,
***0348**,Cuevas,Hidalgo,Gloria,Libre,FOR,Formacion,3,Jornadas y seminarios,0.01,0.01,
***0343**,Redondo,Serrano,Daniel,Libre,EXP,Experiencia profesional,1,Servicios en administración local,1.41,1.41,
***0343**,Redondo,Serrano,Daniel,Libre,EXP,Experiencia profesional,2,Servicios en otra administración,3.06,3.06,
***0343**,Redondo,Serrano,Daniel,Libre,EXP,Experiencia profesional,3,Servicios en el sector privado,3.05,3.05,
***0343**,Redondo,Serrano,Daniel,Libre,FOR,Formacion,1,Curso de formación específica,1.91,1.91,
***0343**,Redondo,Serrano,Daniel,Libre,FOR,Formacion,2,Titulación adicional,0.24,0.24,
***0343**,Redondo,Serrano,Daniel,Libre,FOR,Formacion,3,Jornadas y seminarios,3.02,3.02,
***0331**,Garrido,Ibáñez,Úrsula,Libre,EXP,Experiencia profesional,1,Servicios en administración local,10.68,10.68,
***0331**,Garrido,Ibáñez,Úrsula,Libre,FOR,Formacion,1,Curso de formación específica,0.96,0.96,
***0331**,Garrido,Ibáñez,Úrsula,Libre,FOR,Formacion,2,Titulación adicional,0.65,0.65,
***0346**,Escudero,Pastor,Tomás,Libre,EXP,Experiencia profesional,1,Servicios en administración local,5.3,5.3,
***0346**,Escudero,Pastor,Tomás,Libre,FOR,Formacion,1,Curso de formación específica,4.67,4.67,
***0346**,Escudero,Pastor,Tomás,Libre,FOR,Formacion,2,Titulación adicional,2.24,2.24,
***0325**,Barranco,Ortega,Jorge,Libre,EXP,Experiencia profesional,1,Servicios en administración local,1.16,1.16,
***0325**,Barranco,Ortega,Jorge,Libre,EXP,Experiencia profesional,2,Servicios en otra administración,6.19,6.19,
***0325**,Barranco,Ortega,Jorge,Libre,EXP,Experiencia profesional,3,Servicios en el sector privado,1.52,1.52,
***0325**,Barranco,Ortega,Jorge,Libre,FOR,Formacion,1,Curso de formación específica,2.05,2.05,
***0324**,Cuevas,,Ana,Libre,EXP,Experiencia profesional,1,Servicios en administración local,0.2,0.2,
***0324**,Cuevas,,Ana,Libre,EXP,Experiencia profesional,2,Servicios en otra administración,1.84,1.84,
***0324**,Cuevas,,Ana,Libre,FOR,Formacion,1,Curso de formación específica,2.19,2.19,
***0324**,Cuevas,,Ana,Libre,FOR,Formacion,2,Titulación adicional,4.42,4.42,
***0333**,Herrera,Alcalde,Bruno,Libre,EXP,Experiencia profesional,1,Servicios en administración local,1.26,1.26,
***0333**,Herrera,Alcalde,Bruno,Libre,EXP,Experiencia profesional,2,Servicios en otra administración,1.84,1.84,
