DNI/NIE,Primer Apellido,Segundo Apellido,Nombre,Turno,Experiencia,Formacion,Total
***0345**,Uceda,Barranco,Sara,Libre,17.87,7.02,24.89
***0326**,Molina,,Hugo,Libre,14.05,6.81,20.86
***0340**,Guerrero,Redondo,Tomás,Libre,14.42,3.29,17.71
***0327**,Delgado,Uceda,Helena,Libre,14.94,2.3,17.24
***0335**,Herrera,Aguilera,Úrsula,Libre,16.75,0.49,17.24
***0337**,Lara,Aguilera,Bruno,Libre,16.48,0.35,16.83
***0347**,Vidal,Navarro,Pablo,Libre,9.54,6.42,15.96
***0342**,Ortega,Ferrer,Fátima,Libre,11.36,4.02,15.38
***0328**,Guerrero,Delgado,Paula,Libre,12.99,2.19,15.18
***0332**,Zamora,Iglesias,Úrsula,Libre,9.55,5.18,14.73
***0344**,Rubio,Barranco,Ana,Libre,14.12,0.38,14.5
***0330**,Vidal,Garrido,Tomás,Libre,10.82,3.28,14.1
***0334**,Espinosa,,Lucía,Libre,13.38,0.39,13.77
***0336**,Tejada,Nieto,Ana,Libre,8.88,4.24,13.12
***0348**,Cuevas,Hidalgo,Gloria,Libre,10.74,2.01,12.75
***0343**,Redondo,Serrano,Daniel,Libre,7.52,5.17,12.69
***0331**,Garrido,Ibáñez,Úrsula,Libre,10.68,1.61,12.29
***0346**,Escudero,Pastor,Tomás,Libre,5.3,6.91,12.21
***0325**,Barranco,Ortega,Jorge,Libre,8.87,2.05,10.92
***0324**,Cuevas,,Ana,Libre,2.04,6.61,8.65
***0333**,Herrera,Alcalde,Bruno,Libre,3.1,5,8.1
***0329**,Uceda,Nieto,Gonzalo,Libre,1.6,5.96,7.56
***0338**,Peñalver,Cuevas,Ximena,Libre,3.01,3.07,6.08
***0339**,Alcalde,Hidalgo,Tomás,Libre,3.12,1.12,4.24
***0341**,Uceda,,Gloria,Libre,1.94,1.75,3.69
