DNI/NIE,Primer Apellido,Segundo Apellido,Nombre,Turno,Grupo,Descripcion del grupo,Orden grupo,Descripcion del merito,Puntos autobaremacion,Puntos tribunal,Motivo
***0312**,Rubio,Quintana,Lucía,Libre,EXP,Experiencia profesional,1,Servicios en administración local,12.21,12.21,
***0312**,Rubio,Quintana,Lucía,Libre,EXP,Experiencia profesional,2,Servicios en otra administración,7.13,7.13,
***0312**,Rubio,Quintana,Lucía,Libre,FOR,Formacion,1,Curso de formación específica,1.17,1.17,
***0312**,Rubio,Quintana,Lucía,Libre,FOR,Formacion,2,Titulación adicional,2.42,2.42,
***0312**,Rubio,Quintana,Lucía,Libre,FOR,Formacion,3,Jornadas y seminarios,4.39,4.39,
***0322**,Guerrero,,Emilio,Libre,EXP,Experiencia profesional,1,Servicios en administración local,6.5,6.5,
***0322**,Guerrero,,Emilio,Libre,EXP,Experiencia profesional,2,Servicios en otra administración,11.01,11.01,
***0322**,Guerrero,,Emilio,Libre,EXP,Experiencia profesional,3,Servicios en el sector privado,2.09,2.09,
***0322**,Guerrero,,Emilio,Libre,FOR,Formacion,1,Curso de formación específica,7.43,7.43,
***0320**,Herrera,Pastor,Rocío,Libre,EXP,Experiencia profesional,1,Servicios en administración local,12.43,12.43,
***0320**,Herrera,Pastor,Rocío,Libre,EXP,Experiencia profesional,2,Servicios en otra administración,1.67,1.67,
***0320**,Herrera,Pastor,Rocío,Libre,EXP,Experiencia profesional,3,Servicios en el sector privado,5.19,5.19,
***0320**,Herrera,Pastor,Rocío,Libre,FOR,Formacion,1,Curso de formación específica,0.57,0.57,
***0320**,Herrera,Pastor,Rocío,Libre,FOR,Formacion,2,Titulación adicional,3.52,3.52,
***0320**,Herrera,Pastor,Rocío,Libre,FOR,Formacion,3,Jornadas y seminarios,3.2,3.2,
***0319**,Barranco,Aguilera,Pablo,Libre,EXP,Experiencia profesional,1,Servicios en administración local,4.74,4.74,
***0319**,Barranco,Aguilera,Pablo,Libre,EXP,Experiencia profesional,2,Servicios en otra administración,4.7,4.7,
***0319**,Barranco,Aguilera,Pablo,Libre,EXP,Experiencia profesional,3,Servicios en el sector privado,7.16,7.16,
***0319**,Barranco,Aguilera,Pablo,Libre,FOR,Formacion,1,Curso de formación específica,7.14,7.14,
***0319**,Barranco,Aguilera,Pablo,Libre,FOR,Formacion,2,Titulación adicional,0.77,0.77,
***0297**,Domínguez,Vidal,Kevin,Libre,EXP,Experiencia profesional,1,Servicios en administración local,9.19,9.19,
***0297**,Domínguez,Vidal,Kevin,Libre,EXP,Experiencia profesional,2,Servicios en otra administración,2.31,2.31,
***0297**,Domínguez,Vidal,Kevin,Libre,EXP,Experiencia profesional,3,Servicios en el sector privado,5.77,5.77,
***0297**,Domínguez,Vidal,Kevin,Libre,FOR,Formacion,1,Curso de formación específica,2.24,2.24,
***0297**,Domínguez,Vidal,Kevin,Libre,FOR,Formacion,2,Titulación adicional,1.5,1.5,
***0297**,Domínguez,Vidal,Kevin,Libre,FOR,Formacion,3,Jornadas y seminarios,2.37,2.37,
***0317**,Uceda,Alcalde,Manuel,Libre,EXP,Experiencia profesional,1,Servicios en administración local,5.34,5.34,
***0317**,Uceda,Alcalde,Manuel,Libre,EXP,Experiencia profesional,2,Servicios en otra administración,7.79,7.79,
***0317**,Uceda,Alcalde,Manuel,Libre,EXP,Experiencia profesional,3,Servicios en el sector privado,6.32,6.32,
***0317**,Uceda,Alcalde,Manuel,Libre,FOR,Formacion,1,Curso de formación específica,3.89,3.89,
***0298**,Quintana,Ortega,Óscar,Libre,EXP,Experiencia profesional,1,Servicios en administración local,16.69,16.69,
***0298**,Quintana,Ortega,Óscar,Libre,FOR,Formacion,1,Curso de formación específica,4.37,4.37,
***0298**,Quintana,Ortega,Óscar,Libre,FOR,Formacion,2,Titulación adicional,2.13,2.13,
***0318**,Espinosa,Redondo,Fabio,Discapacidad,EXP,Experiencia profesional,1,Servicios en administración local,15.11,15.11,
***0318**,Espinosa,Redondo,Fabio,Discapacidad,FOR,Formacion,1,Curso de formación específica,7.61,7.61,
