DNI/NIE,Primer Apellido,Segundo Apellido,Nombre,Turno,Experiencia,Formacion,Total
***0312**,Rubio,Quintana,Lucía,Libre,19.34,7.98,27.32
***0322**,Guerrero,,Emilio,Libre,19.6,7.43,27.03
***0320**,Herrera,Pastor,Rocío,Libre,19.29,7.29,26.58
***0319**,Barranco,Aguilera,Pablo,Libre,16.6,7.91,24.51
***0297**,Domínguez,Vidal,Kevin,Libre,17.27,6.11,23.38
***0317**,Uceda,Alcalde,Manuel,Libre,19.45,3.89,23.34
***0298**,Quintana,Ortega,Óscar,Libre,16.69,6.5,23.19
***0318**,Espinosa,Redondo,Fabio,Discapacidad,15.11,7.61,22.72
***0310**,Aguilera,Torralba,Beatriz,Libre,16.76,5.26,22.02
***0315**,Garrido,Navarro,Sara,Libre,15.78,6,21.78
***0304**,Iglesias,Escudero,Hugo,Libre,18.06,2.72,20.78
***0302**,Serrano,Pastor,Nuria,Libre,18.33,1.92,20.25
***0301**,Medina,Espinosa,Úrsula,Libre,19.01,1.1,20.11
***0300**,Herrera,Vidal,Hugo,Libre,15.45,2.78,18.23
***0306**,Lozano,Tejada,Pablo,Libre,14.02,4.1,18.12
***0314**,Molina,Lara,Julia,Libre,13.56,3.49,17.05
***0323**,Ferrer,,Laura,Libre,13.94,2.64,16.58
***0295**,Aguilera,Hidalgo,Lucía,Libre,10.81,5.4,16.21
***0313**,Cuevas,Jurado,Paula,Libre,14.42,1.77,16.19
***0294**,Valverde,Olmo,Ana,Libre,14.09,1.92,16.01
***0307**,Zamora,Navarro,Rocío,Libre,15.22,0.43,15.65
***0316**,Barranco,Olmo,Nuria,Libre,12.99,2.65,15.64
***0321**,Torralba,,Irene,Libre,9.89,4.12,14.01
***0311**,Cuevas,Hidalgo,Hugo,Libre,13.48,0.47,13.95
***0309**,Rubio,Redondo,Sergio,Libre,10.72,2.93,13.65
***0299**,Rubio,Navarro,Manuel,Libre,6.76,6.86,13.62
***0296**,Delgado,Fuentes,Carla,Libre,5.05,7.27,12.32
***0308**,Uceda,Ibáñez,Jorge,Discapacidad,4.71,5.49,10.2
***0303**,Uceda,Bermejo,Adrián,Libre,5.88,2.3,8.18
***0305**,Torralba,Aguilera,Zaira,Libre,6.58,0.1,6.68
