DNI/NIE,Primer Apellido,Segundo Apellido,Nombre,Turno,Grupo,Descripcion del grupo,Orden grupo,Descripcion del merito,Puntos autobaremacion,Puntos tribunal,Motivo
***0139**,Redondo,Lara,Manuel,Libre,EXP,Experiencia profesional,1,Servicios en administración local,3.67,3.67,
***0139**,Redondo,Lara,Manuel,Libre,EXP,Experiencia profesional,2,Servicios en otra administración,5.73,5.73,
***0139**,Redondo,Lara,Manuel,Libre,EXP,Experiencia profesional,3,Servicios en el sector privado,10.32,10.32,
***0139**,Redondo,Lara,Manuel,Libre,FOR,Formacion,1,Curso de formación específica,7.82,7.82,
***0138**,Delgado,Guerrero,Beatriz,Libre,EXP,Experiencia profesional,1,Servicios en administración local,8.94,8.94,
***0138**,Delgado,Guerrero,Beatriz,Libre,EXP,Experiencia profesional,2,Servicios en otra administración,6.65,6.65,
***0138**,Delgado,Guerrero,Beatriz,Libre,EXP,Experiencia profesional,3,Servicios en el sector privado,4.35,4.35,
***0138**,Delgado,Guerrero,Beatriz,Libre,FOR,Formacion,1,Curso de formación específica,2.89,2.89,
***0138**,Delgado,Guerrero,Beatriz,Libre,FOR,Formacion,2,Titulación adicional,2.8,2.8,
***0141**,Herrera,Molina,Adrián,Libre,EXP,Experiencia profesional,1,Servicios en administración local,9.43,9.43,
***0141**,Herrera,Molina,Adrián,Libre,EXP,Experiencia profesional,2,Servicios en otra administración,10.28,10.28,
***0141**,Herrera,Molina,Adrián,Libre,FOR,Formacion,1,Curso de formación específica,3.65,3.65,
***0159**,Quintana,,Julia,Libre,EXP,Experiencia profesional,1,Servicios en administración local,8.34,8.34,
***0159**,Quintana,,Julia,Libre,EXP,Experiencia profesional,2,Servicios en otra administración,7.38,7.38,
***0159**,Quintana,,Julia,Libre,EXP,Experiencia profesional,3,Servicios en el sector privado,0.34,0.34,
***0159**,Quintana,,Julia,Libre,FOR,Formacion,1,Curso de formación específica,5.66,5.66,
***0159**,Quintana,,Julia,Libre,FOR,Formacion,2,Titulación adicional,1.52,1.52,
***0151**,Delgado,Hidalgo,Lucía,Libre,EXP,Experiencia profesional,1,Servicios en administración local,5.05,5.05,
***0151**,Delgado,Hidalgo,Lucía,Libre,EXP,Experiencia profesional,2,Servicios en otra administración,6.85,6.85,
***0151**,Delgado,Hidalgo,Lucía,Libre,EXP,Experiencia profesional,3,Servicios en el sector privado,2.43,2.43,
***0151**,Delgado,Hidalgo,Lucía,Libre,FOR,Formacion,1,Curso de formación específica,6.97,6.97,
***0148**,Serrano,Valverde,Ana,Libre,EXP,Experiencia profesional,1,Servicios en administración local,3.36,3.36,
***0148**,Serrano,Valverde,Ana,Libre,EXP,Experiencia profesional,2,Servicios en otra administración,6.26,6.26,
***0148**,Serrano,Valverde,Ana,Libre,EXP,Experiencia profesional,3,Servicios en el sector privado,8.29,8.29,
***0148**,Serrano,Valverde,Ana,Libre,FOR,Formacion,1,Curso de formación específica,0.06,0.06,
***0148**,Serrano,Valverde,Ana,Libre,FOR,Formacion,2,Titulación adicional,1.24,1.24,
***0148**,Serrano,Valverde,Ana,Libre,FOR,Formacion,3,Jornadas y seminarios,0.53,0.53,
***0136**,Cuevas,Jurado,Pablo,Libre,EXP,Experiencia profesional,1,Servicios en administración local,1.82,1.82,
***0136**,Cuevas,Jurado,Pablo,Libre,EXP,Experiencia profesional,2,Servicios en otra administración,16.65,16.65,
***0136**,Cuevas,Jurado,Pablo,Libre,FOR,Formacion,1,Curso de formación específica,0.14,0.14,
***0136**,Cuevas,Jurado,Pablo,Libre,FOR,Formacion,2,Titulación adicional,0.32,0.32,
***0136**,Cuevas,Jurado,Pablo,Libre,FOR,Formacion,3,Jornadas y seminarios,0.29,0.29,
***0156**,Ortega,Nieto,Gloria,Libre,EXP,Experiencia profesional,1,Servicios en administración local,3.84,3.84,
***0156**,Ortega,Nieto,Gloria,Libre,EXP,Experiencia profesional,2,Servicios en otra administración,11.72,11.72,
***0156**,Ortega,Nieto,Gloria,Libre,FOR,Formacion,1,Curso de formación específica,0.74,0.74,
***0156**,Ortega,Nieto,Gloria,Libre,FOR,Formacion,2,Titulación adicional,0.63,0.63,
***0156**,Ortega,Nieto,Gloria,Libre,FOR,Formacion,3,Jornadas y seminarios,1.48,1.48,
***0155**,Valverde,Escudero,Gloria,Libre,EXP,Experiencia profesional,1,Servicios en administración local,8.78,8.78,
***0155**,Valverde,Escudero,Gloria,Libre,EXP,Experiencia profesional,2,Servicios en otra administración,2.84,2.84,
***0155**,Valverde,Escudero,Gloria,Libre,FOR,Formacion,1,Curso de formación específica,3.24,3.24,
***0155**,Valverde,Escudero,Gloria,Libre,FOR,Formacion,2,Titulación adicional,2.3,2.3,
***0135**,Herrera,Jurado,Jorge,Libre,EXP,Experiencia profesional,1,Servicios en administración local,13.2,13.2,
***0135**,Herrera,Jurado,Jorge,Libre,FOR,Formacion,1,Curso de formación específica,3.23,3.23,
***0149**,Torralba,Fuentes,Gonzalo,Libre,EXP,Experiencia profesional,1,Servicios en administración local,6.09,6.09,
***0149**,Torralba,Fuentes,Gonzalo,Libre,EXP,Experiencia profesional,2,Servicios en otra administración,4.75,4.75,
***0149**,Torralba,Fuentes,Gonzalo,Libre,FOR,Formacion,1,Curso de formación específica,4.95,4.95,
***0137**,Valverde,Zamora,Víctor,Libre,EXP,Experiencia profesional,1,Servicios en administración local,9.83,9.83,
***0137**,Valverde,Zamora,Víctor,Libre,FOR,Formacion,1,Curso de formación específica,5.72,5.72,
***0147**,Nieto,Lara,Emilio,Discapacidad,EXP,Experiencia profesional,1,Servicios en administración local,6.57,6.57,
***0147**,Nieto,Lara,Emilio,Discapacidad,EXP,Experiencia profesional,2,Servicios en otra administración,1.64,1.64,
***0147**,Nieto,Lara,Emilio,Discapacidad,EXP,Experiencia profesional,3,Servicios en el sector privado,4.65,4.65,
***0147**,Nieto,Lara,Emilio,Discapacidad,FOR,Formacion,1,Curso de formación específica,0.09,0.09,
***0147**,Nieto,Lara,Emilio,Discapacidad,FOR,Formacion,2,Titulación adicional,0.4,0.4,
***0147**,Nieto,Lara,Emilio,Discapacidad,FOR,Formacion,3,Jornadas y seminarios,1.64,1.64,
***0150**,Lozano,Ortega,Rocío,Libre,EXP,Experiencia profesional,1,Servicios en administración local,4.22,4.22,
***0150**,Lozano,Ortega,Rocío,Libre,EXP,Experiencia profesional,2,Servicios en otra administración,6.9,6.9,
***0150**,Lozano,Ortega,Rocío,Libre,FOR,Formacion,1,Curso de formación específica,2.69,2.69,
***0142**,Hidalgo,Ibáñez,Ximena,Libre,EXP,Experiencia profesional,1,Servicios en administración local,5.13,5.13,
***0142**,Hidalgo,Ibáñez,Ximena,Libre,EXP,Experiencia profesional,2,Servicios en otra administración,5.85,5.85,
***0142**,Hidalgo,Ibáñez,Ximena,Libre,EXP,Experiencia profesional,3,Servicios en el sector privado,1.85,1.85,
***0142**,Hidalgo,Ibáñez,Ximena,Libre,FOR,Formacion,1,Curso de formación específica,0.87,0.87,
***0145**,Jurado,Salinas,Pablo,Libre,EXP,Experiencia profesional,1,Servicios en administración local,8.7,8.7,
***0145**,Jurado,Salinas,Pablo,Libre,FOR,Formacion,1,Curso de formación específica,4.49,4.49,
***0154**,Torralba,Quintana,Fátima,Libre,EXP,Experiencia profesional,1,Servicios en administración local,6.6,6.6,
***0154**,Torralba,Quintana,Fátima,Libre,EXP,Experiencia profesional,2,Servicios en otra administración,2.1,2.1,
***0154**,Torralba,Quintana,Fátima,Libre,FOR,Formacion,1,Curso de formación específica,2.57,2.57,
***0154**,Torralba,Quintana,Fátima,Libre,FOR,Formacion,2,Titulación adicional,0.86,0.86,
***0157**,Ortega,Zamora,Julia,Libre,EXP,Experiencia profesional,1,Servicios en administración local,1.62,1.62,
***0157**,Ortega,Zamora,Julia,Libre,EXP,Experiencia profesional,2,Servicios en otra administración,1.56,1.56,
***0157**,Ortega,Zamora,Julia,Libre,FOR,Formacion,1,Curso de formación específica,6.39,6.39,
***0157**,Ortega,Zamora,Julia,Libre,FOR,Formacion,2,Titulación adicional,1.29,1.29,
***0146**,Pastor,Quintana,Daniel,Libre,EXP,Experiencia profesional,1,Servicios en administración local,3.47,3.47,
***0146**,Pastor,Quintana,Daniel,Libre,EXP,Experiencia profesional,2,Servicios en otra administración,4.56,4.56,
***0146**,Pastor,Quintana,Daniel,Libre,FOR,Formacion,1,Curso de formación específica,2.15,2.15,
***0152**,Serrano,Olmo,Pablo,Libre,EXP,Experiencia profesional,1,Servicios en administración local,5.8,5.8,
***0152**,Serrano,Olmo,Pablo,Libre,EXP,Experiencia profesional,2,Servicios en otra administración,0.86,0.86,
***0152**,Serrano,Olmo,Pablo,Libre,FOR,Formacion,1,Curso de formación específica,3.08,3.08,
***0153**,Herrera,Castaño,Hugo,Libre,EXP,Experiencia profesional,1,Servicios en administración local,6.15,6.15,
***0153**,Herrera,Castaño,Hugo,Libre,FOR,Formacion,1,Curso de formación específica,2.47,2.47,
***0143**,Espinosa,Hidalgo,Dolores,Libre,EXP,Experiencia profesional,1,Servicios en administración local,0.9,0.9,
***0143**,Espinosa,Hidalgo,Dolores,Libre,EXP,Experiencia profesional,2,Servicios en otra administración,0.56,0.56,
***0143**,Espinosa,Hidalgo,Dolores,Libre,FOR,Formacion,1,Curso de formación específica,0.56,0.56,
***0143**,Espinosa,Hidalgo,Dolores,Libre,FOR,Formacion,2,Titulación adicional,1.5,1.5,
***0143**,Espinosa,Hidalgo,Dolores,Libre,FOR,Formacion,3,Jornadas y seminarios,4.45,4.45,
***0140**,Bermejo,Peñalver,Yago,Libre,EXP,Experiencia profesional,1,Servicios en administración local,2.02,2.02,
***0140**,Bermejo,Peñalver,Yago,Libre,FOR,Formacion,1,Curso de formación específica,5.72,5.72,
***0158**,Escudero,Delgado,Víctor,Libre,EXP,Experiencia profesional,1,Servicios en administración local,0.07,0.07,
***0158**,Escudero,Delgado,Víctor,Libre,EXP,Experiencia profesional,2,Servicios en otra administración,2.11,2.11,
***0158**,Escudero,Delgado,Víctor,Libre,EXP,Experiencia profesional,3,Servicios en el sector privado,1.29,1.29,
***0158**,Escudero,Delgado,Víctor,Libre,FOR,Formacion,1,Curso de formación específica,0.41,0.41,
***0158**,Escudero,Delgado,Víctor,Libre,FOR,Formacion,2,Titulación adicional,2.32,2.32,
***0144**,Aguilera,Rubio,Úrsula,Libre,EXP,Experiencia profesional,1,Servicios en administración local,0.54,0.54,
***0144**,Aguilera,Rubio,Úrsula,Libre,EXP,Experiencia profesional,2,Servicios en otra administración,2.33,2.33,
***0144**,Aguilera,Rubio,Úrsula,Libre,FOR,Formacion,1,Curso de formación específica,2.11,2.11,
