DNI/NIE,Primer Apellido,Segundo Apellido,Nombre,Turno,Experiencia,Formacion,Total
***0139**,Redondo,Lara,Manuel,Libre,19.72,7.82,27.54
***0138**,Delgado,Guerrero,Beatriz,Libre,19.94,5.69,25.63
***0141**,Herrera,Molina,Adrián,Libre,19.71,3.65,23.36
***0159**,Quintana,,Julia,Libre,16.06,7.18,23.24
***0151**,Delgado,Hidalgo,Lucía,Libre,14.33,6.97,21.3
***0148**,Serrano,Valverde,Ana,Libre,17.91,1.83,19.74
***0136**,Cuevas,Jurado,Pablo,Libre,18.47,0.75,19.22
***0156**,Ortega,Nieto,Gloria,Libre,15.56,2.85,18.41
***0155**,Valverde,Escudero,Gloria,Libre,11.62,5.54,17.16
***0135**,Herrera,Jurado,Jorge,Libre,13.2,3.23,16.43
***0149**,Torralba,Fuentes,Gonzalo,Libre,10.84,4.95,15.79
***0137**,Valverde,Zamora,Víctor,Libre,9.83,5.72,15.55
***0147**,Nieto,Lara,Emilio,Discapacidad,12.86,2.13,14.99
***0150**,Lozano,Ortega,Rocío,Libre,11.12,2.69,13.81
***0142**,Hidalgo,Ibáñez,Ximena,Libre,12.83,0.87,13.7
***0145**,Jurado,Salinas,Pablo,Libre,8.7,4.49,13.19
***0154**,Torralba,Quintana,Fátima,Libre,8.7,3.43,12.13
***0157**,Ortega,Zamora,Julia,Libre,3.18,7.68,10.86
***0146**,Pastor,Quintana,Daniel,Libre,8.03,2.15,10.18
***0152**,Serrano,Olmo,Pablo,Libre,6.66,3.08,9.74
***0153**,Herrera,Castaño,Hugo,Libre,6.15,2.47,8.62
***0143**,Espinosa,Hidalgo,Dolores,Libre,1.46,6.51,7.97
***0140**,Bermejo,Peñalver,Yago,Libre,2.02,5.72,7.74
***0158**,Escudero,Delgado,Víctor,Libre,3.47,2.73,6.2
***0144**,Aguilera,Rubio,Úrsula,Libre,2.87,2.11,4.98
