DNI/NIE,Primer Apellido,Segundo Apellido,Nombre,Turno,Grupo,Descripcion del grupo,Orden grupo,Descripcion del merito,Puntos autobaremacion,Puntos tribunal,Motivo
***0104**,Bermejo,Barranco,Laura,Libre,EXP,Experiencia profesional,1,Servicios en administración local,6.77,6.77,
***0104**,Bermejo,Barranco,Laura,Libre,EXP,Experiencia profesional,2,Servicios en otra administración,1,1,
***0104**,Bermejo,Barranco,Laura,Libre,EXP,Experiencia profesional,3,Servicios en el sector privado,12.05,12.05,
***0104**,Bermejo,Barranco,Laura,Libre,FOR,Formacion,1,Curso de formación específica,6.43,6.43,
***0104**,Bermejo,Barranco,Laura,Libre,FOR,Formacion,2,Titulación adicional,1.45,1.45,
***0115**,Redondo,Barranco,Rocío,Libre,EXP,Experiencia profesional,1,Servicios en administración local,6.76,6.76,
***0115**,Redondo,Barranco,Rocío,Libre,EXP,Experiencia profesional,2,Servicios en otra administración,8.17,8.17,
***0115**,Redondo,Barranco,Rocío,Libre,EXP,Experiencia profesional,3,Servicios en el sector privado,4.68,4.68,
***0115**,Redondo,Barranco,Rocío,Libre,FOR,Formacion,1,Curso de formación específica,0.03,0.03,
***0115**,Redondo,Barranco,Rocío,Libre,FOR,Formacion,2,Titulación adicional,2.33,2.33,
***0115**,Redondo,Barranco,Rocío,Libre,FOR,Formacion,3,Jornadas y seminarios,2.29,2.29,
***0125**,Domínguez,Castaño,Gonzalo,Libre,EXP,Experiencia profesional,1,Servicios en administración local,14.35,14.35,
***0125**,Domínguez,Castaño,Gonzalo,Libre,EXP,Experiencia profesional,2,Servicios en otra administración,1.83,1.83,
***0125**,Domínguez,Castaño,Gonzalo,Libre,FOR,Formacion,1,Curso de formación específica,0.8,0.8,
***0125**,Domínguez,Castaño,Gonzalo,Libre,FOR,Formacion,2,Titulación adicional,2.45,2.45,
***0125**,Domínguez,Castaño,Gonzalo,Libre,FOR,Formacion,3,Jornadas y seminarios,2.73,2.73,
***0124**,Redondo,Navarro,Víctor,Libre,EXP,Experiencia profesional,1,Servicios en administración local,3.63,3.63,
