DNI/NIE,Primer Apellido,Segundo Apellido,Nombre,Turno,Experiencia,Formacion,Total
***0104**,Bermejo,Barranco,Laura,Libre,19.82,7.88,27.7
***0115**,Redondo,Barranco,Rocío,Libre,19.61,4.65,24.26
***0125**,Domínguez,Castaño,Gonzalo,Libre,16.18,5.98,22.16
***0124**,Redondo,Navarro,Víctor,Libre,16.2,5.18,21.38
***0121**,Barranco,Cuevas,Manuel,Libre,14.57,6.47,21.04
***0109**,Cuevas,Jurado,Lucía,Libre,18.68,1.44,20.12
***0122**,Olmo,Guerrero,Yago,Libre,11.3,7.78,19.08
***0127**,Iglesias,Alcalde,Paula,Libre,12.95,5.85,18.8
***0133**,Quintana,,Nuria,Libre,15.54,3.15,18.69
***0130**,Rubio,Hidalgo,Kevin,Libre,12.6,5.48,18.08
***0103**,Ferrer,,Adrián,Discapacidad,15.18,2.72,17.9
***0117**,Valverde,Guerrero,Víctor,Libre,16.16,0.76,16.92
***0112**,Peñalver,Herrera,Elena,Discapacidad,13,3.7,16.7
***0118**,Jurado,Valverde,Sara,Libre,6.88,7.29,14.17
***0128**,Aguilera,Bermejo,Rocío,Libre,11.19,2.94,14.13
***0129**,Alcalde,,Kevin,Libre,7.86,5.37,13.23
***0119**,Valverde,Castaño,Hugo,Libre,10.52,2.22,12.74
***0102**,Olmo,Pastor,Sergio,Libre,11.55,1.16,12.71
***0120**,Salinas,,Jorge,Discapacidad,8.78,3.85,12.63
***0107**,Lozano,Nieto,Helena,Libre,2.88,7.47,10.35
***0113**,Espinosa,Serrano,Raúl,Discapacidad,6.87,3.02,9.89
***0114**,Fuentes,Redondo,Beatriz,Libre,5.41,3.98,9.39
***0116**,Lara,Herrera,Ana,Libre,2.71,6.42,9.13
***0106**,Jurado,Valverde,Hugo,Libre,3.4,5.46,8.86
***0108**,Guerrero,Valverde,Laura,Discapacidad,3.14,5.54,8.68
***0131**,Ferrer,Delgado,Raúl,Libre,7.15,1,8.15
***0110**,Ferrer,Barranco,Beatriz,Libre,1.19,6.19,7.38
***0105**,Valverde,Torralba,Ximena,Libre,2.79,4.21,7
***0134**,Tejada,,Hugo,Libre,0.88,5.93,6.81
***0101**,Nieto,Uceda,Pablo,Libre,2.85,2.65,5.5
***0123**,Rubio,Castaño,Beatriz,Libre,0.05,4.92,4.97
***0132**,Molina,Castaño,Ximena,Libre,1.31,3.43,4.74
***0111**,Alcalde,Guerrero,Fabio,Libre,3.48,1.18,4.66
***0126**,Olmo,,Laura,Libre,0.12,4.22,4.34
