DNI/NIE,Primer Apellido,Segundo Apellido,Nombre,Turno,Grupo,Descripcion del grupo,Orden grupo,Descripcion del merito,Puntos autobaremacion,Puntos tribunal,Motivo
***0261**,Delgado,Ortega,Gonzalo,Discapacidad,EXP,Experiencia profesional,1,Servicios en administración local,18.26,18.26,
***0261**,Delgado,Ortega,Gonzalo,Discapacidad,FOR,Formacion,1,Curso de formación específica,0.03,0.03,
***0261**,Delgado,Ortega,Gonzalo,Discapacidad,FOR,Formacion,2,Titulación adicional,5.05,5.05,
***0261**,Delgado,Ortega,Gonzalo,Discapacidad,FOR,Formacion,3,Jornadas y seminarios,2.86,2.86,
***0280**,Ferrer,Rubio,Gonzalo,Libre,EXP,Experiencia profesional,1,Servicios en administración local,1.8,1.8,
***0280**,Ferrer,Rubio,Gonzalo,Libre,EXP,Experiencia profesional,2,Servicios en otra administración,9.08,9.08,
***0280**,Ferrer,Rubio,Gonzalo,Libre,EXP,Experiencia profesional,3,Servicios en el sector privado,7.97,7.97,
***0280**,Ferrer,Rubio,Gonzalo,Libre,FOR,Formacion,1,Curso de formación específica,5.1,5.1,
***0284**,Iglesias,Ortega,Sergio,Libre,EXP,Experiencia profesional,1,Servicios en administración local,2.2,2.2,
***0284**,Iglesias,Ortega,Sergio,Libre,EXP,Experiencia profesional,2,Servicios en otra administración,13.07,13.07,
***0284**,Iglesias,Ortega,Sergio,Libre,EXP,Experiencia profesional,3,Servicios en el sector privado,0.08,0.08,
***0284**,Iglesias,Ortega,Sergio,Libre,FOR,Formacion,1,Curso de formación específica,7.56,7.56,
***0257**,Salinas,Pastor,Sara,Libre,EXP,Experiencia profesional,1,Servicios en administración local,8.86,8.86,
***0257**,Salinas,Pastor,Sara,Libre,EXP,Experiencia profesional,2,Servicios en otra administración,7.9,7.9,
***0257**,Salinas,Pastor,Sara,Libre,FOR,Formacion,1,Curso de formación específica,3.93,3.93,
***0257**,Salinas,Pastor,Sara,Libre,FOR,Formacion,2,Titulación adicional,1.81,1.81,
***0277**,Aguilera,Nieto,Rocío,Libre,EXP,Experiencia profesional,1,Servicios en administración local,4.54,4.54,
***0277**,Aguilera,Nieto,Rocío,Libre,EXP,Experiencia profesional,2,Servicios en otra administración,7.23,7.23,
***0277**,Aguilera,Nieto,Rocío,Libre,EXP,Experiencia profesional,3,Servicios en el sector privado,8.08,8.08,
***0277**,Aguilera,Nieto,Rocío,Libre,FOR,Formacion,1,Curso de formación específica,1.97,1.97,
***0276**,Serrano,Guerrero,Claudio,Libre,EXP,Experiencia profesional,1,Servicios en administración local,1.6,1.6,
***0276**,Serrano,Guerrero,Claudio,Libre,EXP,Experiencia profesional,2,Servicios en otra administración,4.68,4.68,
***0276**,Serrano,Guerrero,Claudio,Libre,EXP,Experiencia profesional,3,Servicios en el sector privado,11.62,11.62,
***0276**,Serrano,Guerrero,Claudio,Libre,FOR,Formacion,1,Curso de formación específica,1.46,1.46,
***0276**,Serrano,Guerrero,Claudio,Libre,FOR,Formacion,2,Titulación adicional,2.38,2.38,
***0285**,Redondo,Pastor,Kevin,Libre,EXP,Experiencia profesional,1,Servicios en administración local,1.29,1.29,
***0285**,Redondo,Pastor,Kevin,Libre,EXP,Experiencia profesional,2,Servicios en otra administración,3.24,3.24,
***0285**,Redondo,Pastor,Kevin,Libre,EXP,Experiencia profesional,3,Servicios en el sector privado,13.39,13.39,
***0285**,Redondo,Pastor,Kevin,Libre,FOR,Formacion,1,Curso de formación específica,1.41,1.41,
***0285**,Redondo,Pastor,Kevin,Libre,FOR,Formacion,2,Titulación adicional,1,1,
***0285**,Redondo,Pastor,Kevin,Libre,FOR,Formacion,3,Jornadas y seminarios,0.72,0.72,
***0289**,Olmo,,Fabio,Libre,EXP,Experiencia profesional,1,Servicios en administración local,18.24,18.24,
***0289**,Olmo,,Fabio,Libre,FOR,Formacion,1,Curso de formación específica,0.12,0.12,
***0289**,Olmo,,Fabio,Libre,FOR,Formacion,2,Titulación adicional,2.17,2.17,
***0269**,Valverde,Castaño,Rocío,Libre,EXP,Experiencia profesional,1,Servicios en administración local,5.33,5.33,
***0269**,Valverde,Castaño,Rocío,Libre,EXP,Experiencia profesional,2,Servicios en otra administración,1.87,1.87,
***0269**,Valverde,Castaño,Rocío,Libre,EXP,Experiencia profesional,3,Servicios en el sector privado,8.65,8.65,
***0269**,Valverde,Castaño,Rocío,Libre,FOR,Formacion,1,Curso de formación específica,1.4,1.4,
***0269**,Valverde,Castaño,Rocío,Libre,FOR,Formacion,2,Titulación adicional,0.85,0.85,
***0269**,Valverde,Castaño,Rocío,Libre,FOR,Formacion,3,Jornadas y seminarios,1.58,1.58,
***0260**,Serrano,Redondo,Iván,Libre,EXP,Experiencia profesional,1,Servicios en administración local,16.59,16.59,
***0260**,Serrano,Redondo,Iván,Libre,FOR,Formacion,1,Curso de formación específica,0.7,0.7,
***0260**,Serrano,Redondo,Iván,Libre,FOR,Formacion,2,Titulación adicional,0.77,0.77,
***0260**,Serrano,Redondo,Iván,Libre,FOR,Formacion,3,Jornadas y seminarios,0.7,0.7,
***0263**,Lozano,Escudero,Lucía,Libre,EXP,Experiencia profesional,1,Servicios en administración local,13.07,13.07,
***0263**,Lozano,Escudero,Lucía,Libre,FOR,Formacion,1,Curso de formación específica,5.55,5.55,
***0259**,Herrera,Lozano,Emilio,Libre,EXP,Experiencia profesional,1,Servicios en administración local,16.88,16.88,
***0259**,Herrera,Lozano,Emilio,Libre,FOR,Formacion,1,Curso de formación específica,0.24,0.24,
***0259**,Herrera,Lozano,Emilio,Libre,FOR,Formacion,2,Titulación adicional,0.37,0.37,
***0259**,Herrera,Lozano,Emilio,Libre,FOR,Formacion,3,Jornadas y seminarios,0.84,0.84,
***0293**,Castaño,Delgado,Yago,Libre,EXP,Experiencia profesional,1,Servicios en administración local,7.03,7.03,
***0293**,Castaño,Delgado,Yago,Libre,EXP,Experiencia profesional,2,Servicios en otra administración,8.62,8.62,
***0293**,Castaño,Delgado,Yago,Libre,FOR,Formacion,1,Curso de formación específica,2.54,2.54,
***0291**,Peñalver,Ferrer,Gloria,Libre,EXP,Experiencia profesional,1,Servicios en administración local,14.83,14.83,
***0291**,Peñalver,Ferrer,Gloria,Libre,FOR,Formacion,1,Curso de formación específica,1.15,1.15,
***0291**,Peñalver,Ferrer,Gloria,Libre,FOR,Formacion,2,Titulación adicional,1.36,1.36,
***0291**,Peñalver,Ferrer,Gloria,Libre,FOR,Formacion,3,Jornadas y seminarios,0.61,0.61,
***0278**,Hidalgo,Domínguez,Yago,Libre,EXP,Experiencia profesional,1,Servicios en administración local,11.15,11.15,
***0278**,Hidalgo,Domínguez,Yago,Libre,FOR,Formacion,1,Curso de formación específica,6.53,6.53,
***0275**,Jurado,Olmo,Gonzalo,Libre,EXP,Experiencia profesional,1,Servicios en administración local,3.24,3.24,
***0275**,Jurado,Olmo,Gonzalo,Libre,EXP,Experiencia profesional,2,Servicios en otra administración,2.46,2.46,
***0275**,Jurado,Olmo,Gonzalo,Libre,EXP,Experiencia profesional,3,Servicios en el sector privado,3.89,3.89,
***0275**,Jurado,Olmo,Gonzalo,Libre,FOR,Formacion,1,Curso de formación específica,2.24,2.24,
***0275**,Jurado,Olmo,Gonzalo,Libre,FOR,Formacion,2,Titulación adicional,1.14,1.14,
***0275**,Jurado,Olmo,Gonzalo,Libre,FOR,Formacion,3,Jornadas y seminarios,4.1,4.1,
***0282**,Lozano,Alcalde,Marcos,Libre,EXP,Experiencia profesional,1,Servicios en administración local,9.21,9.21,
***0282**,Lozano,Alcalde,Marcos,Libre,FOR,Formacion,1,Curso de formación específica,7.52,7.52,
