DNI/NIE,Primer Apellido,Segundo Apellido,Nombre,Turno,Experiencia,Formacion,Total
***0261**,Delgado,Ortega,Gonzalo,Discapacidad,18.26,7.94,26.2
***0280**,Ferrer,Rubio,Gonzalo,Libre,18.85,5.1,23.95
***0284**,Iglesias,Ortega,Sergio,Libre,15.35,7.56,22.91
***0257**,Salinas,Pastor,Sara,Libre,16.76,5.74,22.5
***0277**,Aguilera,Nieto,Rocío,Libre,19.85,1.97,21.82
***0276**,Serrano,Guerrero,Claudio,Libre,17.9,3.84,21.74
***0285**,Redondo,Pastor,Kevin,Libre,17.92,3.13,21.05
***0289**,Olmo,,Fabio,Libre,18.24,2.29,20.53
***0269**,Valverde,Castaño,Rocío,Libre,15.85,3.83,19.68
***0260**,Serrano,Redondo,Iván,Libre,16.59,2.17,18.76
***0263**,Lozano,Escudero,Lucía,Libre,13.07,5.55,18.62
***0259**,Herrera,Lozano,Emilio,Libre,16.88,1.45,18.33
***0293**,Castaño,Delgado,Yago,Libre,15.65,2.54,18.19
***0291**,Peñalver,Ferrer,Gloria,Libre,14.83,3.12,17.95
***0278**,Hidalgo,Domínguez,Yago,Libre,11.15,6.53,17.68
***0275**,Jurado,Olmo,Gonzalo,Libre,9.59,7.48,17.07
***0282**,Lozano,Alcalde,Marcos,Libre,9.21,7.52,16.73
***0262**,Espinosa,Uceda,Bruno,Libre,8.55,7.65,16.2
***0268**,Escudero,Garrido,Manuel,Libre,10.77,4.9,15.67
***0271**,Hidalgo,Ferrer,Zaira,Libre,7.02,7.82,14.84
***0281**,Ortega,Barranco,Laura,Libre,11.65,2.71,14.36
***0258**,Nieto,Ibáñez,Marcos,Libre,6.13,7.19,13.32
***0274**,Espinosa,Rubio,Bruno,Libre,8.39,4.89,13.28
***0270**,Peñalver,Peñalver,Laura,Libre,11.42,1.39,12.81
***0279**,Hidalgo,Ferrer,Sara,Libre,11.87,0.34,12.21
***0267**,Zamora,Redondo,Lucía,Libre,5.67,5.89,11.56
***0287**,Delgado,Valverde,Noelia,Libre,5.83,4.28,10.11
***0264**,Uceda,Iglesias,Dolores,Libre,9.38,0.51,9.89
***0265**,Peñalver,Ibáñez,Ximena,Libre,2.48,7.13,9.61
***0283**,Castaño,Redondo,Paula,Libre,5.91,3.55,9.46
***0292**,Valverde,Delgado,Ana,Libre,7.2,1.88,9.08
***0290**,Pastor,Olmo,Jorge,Libre,2.29,6.11,8.4
***0254**,Salinas,Rubio,Fabio,Libre,4.18,3.66,7.84
***0286**,Olmo,Navarro,Víctor,Libre,0.17,7.13,7.3
***0273**,Lozano,Peñalver,Manuel,Libre,4.54,2.04,6.58
***0266**,Lara,Espinosa,Sara,Libre,3.02,2.58,5.6
***0288**,Navarro,Torralba,Raúl,Libre,2.71,2.73,5.44
***0256**,Aguilera,Valverde,Víctor,Libre,2.39,0.72,3.11
***0255**,Olmo,Medina,Ana,Libre,0.81,2.29,3.1
***0272**,Peñalver,Redondo,Adrián,Libre,1.37,0.96,2.33
