DNI/NIE,Primer Apellido,Segundo Apellido,Nombre,Turno,Grupo,Descripcion del grupo,Orden grupo,Descripcion del merito,Puntos autobaremacion,Puntos tribunal,Motivo
***0182**,Nieto,,Iván,Libre,EXP,Experiencia profesional,1,Servicios en administración local,11.11,11.11,
***0182**,Nieto,,Iván,Libre,EXP,Experiencia profesional,2,Servicios en otra administración,7.92,7.92,
***0182**,Nieto,,Iván,Libre,FOR,Formacion,1,Curso de formación específica,1.98,1.98,
***0182**,Nieto,,Iván,Libre,FOR,Formacion,2,Titulación adicional,1.46,1.46,
***0166**,Molina,Vidal,Gloria,Libre,EXP,Experiencia profesional,1,Servicios en administración local,7.94,7.94,
***0166**,Molina,Vidal,Gloria,Libre,EXP,Experiencia profesional,2,Servicios en otra administración,6.51,6.51,
***0166**,Molina,Vidal,Gloria,Libre,FOR,Formacion,1,Curso de formación específica,6.42,6.42,
***0177**,Espinosa,Medina,Gonzalo,Libre,EXP,Experiencia profesional,1,Servicios en administración local,6.76,6.76,
***0177**,Espinosa,Medina,Gonzalo,Libre,EXP,Experiencia profesional,2,Servicios en otra administración,9.83,9.83,
***0177**,Espinosa,Medina,Gonzalo,Libre,FOR,Formacion,1,Curso de formación específica,1.85,1.85,
***0177**,Espinosa,Medina,Gonzalo,Libre,FOR,Formacion,2,Titulación adicional,2.3,2.3,
***0176**,Herrera,Lozano,Beatriz,Discapacidad,EXP,Experiencia profesional,1,Servicios en administración local,6.79,6.79,
***0176**,Herrera,Lozano,Beatriz,Discapacidad,EXP,Experiencia profesional,2,Servicios en otra administración,7.48,7.48,
***0176**,Herrera,Lozano,Beatriz,Discapacidad,FOR,Formacion,1,Curso de formación específica,2.99,2.99,
***0176**,Herrera,Lozano,Beatriz,Discapacidad,FOR,Formacion,2,Titulación adicional,3.13,3.13,
***0180**,Herrera,Peñalver,Manuel,Libre,EXP,Experiencia profesional,1,Servicios en administración local,4.24,4.24,
***0180**,Herrera,Peñalver,Manuel,Libre,EXP,Experiencia profesional,2,Servicios en otra administración,4.56,4.56,
***0180**,Herrera,Peñalver,Manuel,Libre,EXP,Experiencia profesional,3,Servicios en el sector privado,1.89,1.89,
***0180**,Herrera,Peñalver,Manuel,Libre,FOR,Formacion,1,Curso de formación específica,6.83,6.83,
***0179**,Garrido,Torralba,Sergio,Libre,EXP,Experiencia profesional,1,Servicios en administración local,16.25,16.25,
***0179**,Garrido,Torralba,Sergio,Libre,FOR,Formacion,1,Curso de formación específica,0.03,0.03,
***0179**,Garrido,Torralba,Sergio,Libre,FOR,Formacion,2,Titulación adicional,0.12,0.12,
***0179**,Garrido,Torralba,Sergio,Libre,FOR,Formacion,3,Jornadas y seminarios,0.11,0.11,
***0178**,Nieto,Hidalgo,Sara,Libre,EXP,Experiencia profesional,1,Servicios en administración local,11.9,11.9,
***0178**,Nieto,Hidalgo,Sara,Libre,FOR,Formacion,1,Curso de formación específica,1.47,1.47,
***0178**,Nieto,Hidalgo,Sara,Libre,FOR,Formacion,2,Titulación adicional,1.33,1.33,
***0178**,Nieto,Hidalgo,Sara,Libre,FOR,Formacion,3,Jornadas y seminarios,1.34,1.34,
***0165**,Lara,Salinas,Dolores,Libre,EXP,Experiencia profesional,1,Servicios en administración local,14.7,14.7,
***0165**,Lara,Salinas,Dolores,Libre,FOR,Formacion,1,Curso de formación específica,0.11,0.11,
***0171**,Olmo,,Gloria,Libre,EXP,Experiencia profesional,1,Servicios en administración local,12.61,12.61,
***0171**,Olmo,,Gloria,Libre,FOR,Formacion,1,Curso de formación específica,0.04,0.04,
***0171**,Olmo,,Gloria,Libre,FOR,Formacion,2,Titulación adicional,0.24,0.24,
***0161**,Guerrero,Ferrer,Pablo,Libre,EXP,Experiencia profesional,1,Servicios en administración local,1.06,1.06,
***0161**,Guerrero,Ferrer,Pablo,Libre,EXP,Experiencia profesional,2,Servicios en otra administración,3.98,3.98,
***0161**,Guerrero,Ferrer,Pablo,Libre,FOR,Formacion,1,Curso de formación específica,7.02,7.02,
***0162**,Pastor,,Elena,Libre,EXP,Experiencia profesional,1,Servicios en administración local,3.63,3.63,
***0162**,Pastor,,Elena,Libre,EXP,Experiencia profesional,2,Servicios en otra administración,1.86,1.86,
***0162**,Pastor,,Elena,Libre,FOR,Formacion,1,Curso de formación específica,4.92,4.92,
***0162**,Pastor,,Elena,Libre,FOR,Formacion,2,Titulación adicional,1.51,1.51,
***0163**,Escudero,Medina,Manuel,Libre,EXP,Experiencia profesional,1,Servicios en administración local,2.75,2.75,
***0163**,Escudero,Medina,Manuel,Libre,EXP,Experiencia profesional,2,Servicios en otra administración,3.77,3.77,
***0163**,Escudero,Medina,Manuel,Libre,FOR,Formacion,1,Curso de formación específica,0.49,0.49,
***0163**,Escudero,Medina,Manuel,Libre,FOR,Formacion,2,Titulación adicional,1.23,1.23,
***0163**,Escudero,Medina,Manuel,Libre,FOR,Formacion,3,Jornadas y seminarios,3.66,3.66,
***0170**,Herrera,Uceda,Noelia,Libre,EXP,Experiencia profesional,1,Servicios en administración local,3.63,3.63,
***0170**,Herrera,Uceda,Noelia,Libre,EXP,Experiencia profesional,2,Servicios en otra administración,0.76,0.76,
***0170**,Herrera,Uceda,Noelia,Libre,FOR,Formacion,1,Curso de formación específica,5.16,5.16,
***0170**,Herrera,Uceda,Noelia,Libre,FOR,Formacion,2,Titulación adicional,0.59,0.59,
***0170**,Herrera,Uceda,Noelia,Libre,FOR,Formacion,3,Jornadas y seminarios,1.31,1.31,
***0169**,Serrano,Guerrero,Irene,Libre,EXP,Experiencia profesional,1,Servicios en administración local,0.5,0.5,
***0169**,Serrano,Guerrero,Irene,Libre,EXP,Experiencia profesional,2,Servicios en otra administración,2.63,2.63,
***0169**,Serrano,Guerrero,Irene,Libre,EXP,Experiencia profesional,3,Servicios en el sector privado,0.1,0.1,
***0169**,Serrano,Guerrero,Irene,Libre,FOR,Formacion,1,Curso de formación específica,2.98,2.98,
***0169**,Serrano,Guerrero,Irene,Libre,FOR,Formacion,2,Titulación adicional,3.83,3.83,
***0169**,Serrano,Guerrero,Irene,Libre,FOR,Formacion,3,Jornadas y seminarios,1.05,1.05,
***0160**,Bermejo,Fuentes,Manuel,Libre,EXP,Experiencia profesional,1,Servicios en administración local,7.52,7.52,
***0160**,Bermejo,Fuentes,Manuel,Libre,FOR,Formacion,1,Curso de formación específica,0.27,0.27,
***0160**,Bermejo,Fuentes,Manuel,Libre,FOR,Formacion,2,Titulación adicional,0.86,0.86,
