DNI/NIE,Primer Apellido,Segundo Apellido,Nombre,Turno,Experiencia,Formacion,Total
***0182**,Nieto,,Iván,Libre,19.03,3.44,22.47
***0166**,Molina,Vidal,Gloria,Libre,14.45,6.42,20.87
***0177**,Espinosa,Medina,Gonzalo,Libre,16.59,4.15,20.74
***0176**,Herrera,Lozano,Beatriz,Discapacidad,14.27,6.12,20.39
***0180**,Herrera,Peñalver,Manuel,Libre,10.69,6.83,17.52
***0179**,Garrido,Torralba,Sergio,Libre,16.25,0.26,16.51
***0178**,Nieto,Hidalgo,Sara,Libre,11.9,4.14,16.04
***0165**,Lara,Salinas,Dolores,Libre,14.7,0.11,14.81
***0171**,Olmo,,Gloria,Libre,12.61,0.28,12.89
***0161**,Guerrero,Ferrer,Pablo,Libre,5.04,7.02,12.06
***0162**,Pastor,,Elena,Libre,5.49,6.43,11.92
***0163**,Escudero,Medina,Manuel,Libre,6.52,5.38,11.9
***0170**,Herrera,Uceda,Noelia,Libre,4.39,7.06,11.45
***0169**,Serrano,Guerrero,Irene,Libre,3.23,7.86,11.09
***0160**,Bermejo,Fuentes,Manuel,Libre,7.52,1.73,9.25
***0168**,Fuentes,Alcalde,Kevin,Libre,5.4,3.72,9.12
***0181**,Molina,Jurado,Rocío,Libre,6.25,2.11,8.36
***0172**,Nieto,Quintana,Ana,Libre,3.11,4.26,7.37
***0174**,Molina,Jurado,Lucía,Libre,1.52,3.83,5.35
***0167**,Escudero,Uceda,Bruno,Libre,4,0.53,4.53
***0164**,Nieto,Herrera,Sergio,Libre,1.37,2.55,3.92
***0175**,Molina,Navarro,Ximena,Libre,1.75,1.96,3.71
***0173**,Alcalde,Rubio,Sergio,Discapacidad,0.86,1.87,2.73
