DNI/NIE,Primer Apellido,Segundo Apellido,Nombre,Turno,Grupo,Descripcion del grupo,Orden grupo,Descripcion del merito,Puntos autobaremacion,Puntos tribunal,Motivo
***0088**,Uceda,Delgado,Adrián,Libre,EXP,Experiencia profesional,1,Servicios en administración local,18.63,18.63,
***0088**,Uceda,Delgado,Adrián,Libre,FOR,Formacion,1,Curso de formación específica,3.5,3.5,
***0088**,Uceda,Delgado,Adrián,Libre,FOR,Formacion,2,Titulación adicional,2.96,2.96,
***0087**,Ortega,,Paula,Libre,EXP,Experiencia profesional,1,Servicios en administración local,7.74,7.74,
***0087**,Ortega,,Paula,Libre,EXP,Experiencia profesional,2,Servicios en otra administración,8.05,8.05,
***0087**,Ortega,,Paula,Libre,EXP,Experiencia profesional,3,Servicios en el sector privado,2.19,2.19,
***0087**,Ortega,,Paula,Libre,FOR,Formacion,1,Curso de formación específica,2.16,2.16,
***0087**,Ortega,,Paula,Libre,FOR,Formacion,2,Titulación adicional,2.12,2.12,
***0087**,Ortega,,Paula,Libre,FOR,Formacion,3,Jornadas y seminarios,2.31,2.31,
***0100**,Ortega,Herrera,Úrsula,Libre,EXP,Experiencia profesional,1,Servicios en administración local,6.19,6.19,
***0100**,Ortega,Herrera,Úrsula,Libre,EXP,Experiencia profesional,2,Servicios en otra administración,9.58,9.58,
***0100**,Ortega,Herrera,Úrsula,Libre,EXP,Experiencia profesional,3,Servicios en el sector privado,3.01,3.01,
***0100**,Ortega,Herrera,Úrsula,Libre,FOR,Formacion,1,Curso de formación específica,1.49,1.49,
***0100**,Ortega,Herrera,Úrsula,Libre,FOR,Formacion,2,Titulación adicional,0.29,0.29,
***0100**,Ortega,Herrera,Úrsula,Libre,FOR,Formacion,3,Jornadas y seminarios,2.58,2.58,
***0096**,Herrera,Espinosa,Noelia,Libre,EXP,Experiencia profesional,1,Servicios en administración local,16.83,16.83,
***0096**,Herrera,Espinosa,Noelia,Libre,FOR,Formacion,1,Curso de formación específica,2.19,2.19,
***0096**,Herrera,Espinosa,Noelia,Libre,FOR,Formacion,2,Titulación adicional,0.84,0.84,
***0096**,Herrera,Espinosa,Noelia,Libre,FOR,Formacion,3,Jornadas y seminarios,3.07,3.07,
***0092**,Serrano,Ibáñez,Adrián,Libre,EXP,Experiencia profesional,1,Servicios en administración local,7.91,7.91,
***0092**,Serrano,Ibáñez,Adrián,Libre,EXP,Experiencia profesional,2,Servicios en otra administración,11.17,11.17,
***0092**,Serrano,Ibáñez,Adrián,Libre,FOR,Formacion,1,Curso de formación específica,0.57,0.57,
***0092**,Serrano,Ibáñez,Adrián,Libre,FOR,Formacion,2,Titulación adicional,0.74,0.74,
***0094**,Valverde,Serrano,Helena,Libre,EXP,Experiencia profesional,1,Servicios en administración local,2.79,2.79,
***0094**,Valverde,Serrano,Helena,Libre,EXP,Experiencia profesional,2,Servicios en otra administración,10.22,10.22,
***0094**,Valverde,Serrano,Helena,Libre,FOR,Formacion,1,Curso de formación específica,7.06,7.06,
***0089**,Barranco,Ferrer,Óscar,Libre,EXP,Experiencia profesional,1,Servicios en administración local,0.99,0.99,
***0089**,Barranco,Ferrer,Óscar,Libre,EXP,Experiencia profesional,2,Servicios en otra administración,4.36,4.36,
***0089**,Barranco,Ferrer,Óscar,Libre,EXP,Experiencia profesional,3,Servicios en el sector privado,6.17,6.17,
***0089**,Barranco,Ferrer,Óscar,Libre,FOR,Formacion,1,Curso de formación específica,3.18,3.18,
***0089**,Barranco,Ferrer,Óscar,Libre,FOR,Formacion,2,Titulación adicional,2.47,2.47,
***0089**,Barranco,Ferrer,Óscar,Libre,FOR,Formacion,3,Jornadas y seminarios,2.03,2.03,
***0082**,Ortega,Ferrer,Dolores,Libre,EXP,Experiencia profesional,1,Servicios en administración local,11.34,11.34,
***0082**,Ortega,Ferrer,Dolores,Libre,FOR,Formacion,1,Curso de formación específica,3.62,3.62,
***0082**,Ortega,Ferrer,Dolores,Libre,FOR,Formacion,2,Titulación adicional,3.48,3.48,
***0097**,Ferrer,,Adrián,Discapacidad,EXP,Experiencia profesional,1,Servicios en administración local,2.38,2.38,
***0097**,Ferrer,,Adrián,Discapacidad,EXP,Experiencia profesional,2,Servicios en otra administración,9.86,9.86,
***0097**,Ferrer,,Adrián,Discapacidad,FOR,Formacion,1,Curso de formación específica,5.66,5.66,
***0086**,Olmo,Valverde,Zaira,Libre,EXP,Experiencia profesional,1,Servicios en administración local,4.95,4.95,
***0086**,Olmo,Valverde,Zaira,Libre,EXP,Experiencia profesional,2,Servicios en otra administración,5.48,5.48,
***0086**,Olmo,Valverde,Zaira,Libre,FOR,Formacion,1,Curso de formación específica,2.15,2.15,
***0086**,Olmo,Valverde,Zaira,Libre,FOR,Formacion,2,Titulación adicional,4.58,4.58,
***0086**,Olmo,Valverde,Zaira,Libre,FOR,Formacion,3,Jornadas y seminarios,0.43,0.43,
***0093**,Tejada,Guerrero,Lucía,Libre,EXP,Experiencia profesional,1,Servicios en administración local,15.03,15.03,
***0093**,Tejada,Guerrero,Lucía,Libre,FOR,Formacion,1,Curso de formación específica,0.71,0.71,
***0093**,Tejada,Guerrero,Lucía,Libre,FOR,Formacion,2,Titulación adicional,1.24,1.24,
