DNI/NIE,Primer Apellido,Segundo Apellido,Nombre,Turno,Experiencia,Formacion,Total
***0088**,Uceda,Delgado,Adrián,Libre,18.63,6.46,25.09
***0087**,Ortega,,Paula,Libre,17.98,6.59,24.57
***0100**,Ortega,Herrera,Úrsula,Libre,18.78,4.36,23.14
***0096**,Herrera,Espinosa,Noelia,Libre,16.83,6.1,22.93
***0092**,Serrano,Ibáñez,Adrián,Libre,19.08,1.31,20.39
***0094**,Valverde,Serrano,Helena,Libre,13.01,7.06,20.07
***0089**,Barranco,Ferrer,Óscar,Libre,11.52,7.68,19.2
***0082**,Ortega,Ferrer,Dolores,Libre,11.34,7.1,18.44
***0097**,Ferrer,,Adrián,Discapacidad,12.24,5.66,17.9
***0086**,Olmo,Valverde,Zaira,Libre,10.43,7.16,17.59
***0093**,Tejada,Guerrero,Lucía,Libre,15.03,1.95,16.98
***0090**,Pastor,Cuevas,Nuria,Libre,8.36,5.08,13.44
***0085**,Aguilera,Iglesias,Úrsula,Libre,9.62,1.59,11.21
***0091**,Olmo,Cuevas,Bruno,Libre,5.98,4.13,10.11
***0080**,Redondo,Nieto,Yago,Libre,9.17,0.76,9.93
***0083**,Barranco,Escudero,Nuria,Discapacidad,8.6,0.98,9.58
***0081**,Domínguez,Espinosa,Carla,Libre,4.02,4.87,8.89
***0084**,Lozano,Iglesias,Yago,Libre,7.98,0.79,8.77
***0095**,Valverde,Bermejo,Ximena,Libre,0.97,5.25,6.22
***0079**,Zamora,Ortega,Fabio,Libre,1.61,3.46,5.07
***0099**,Ortega,Tejada,Raúl,Libre,0.93,1.19,2.12
***0098**,Ibáñez,Navarro,Claudio,Libre,0.08,0.6,0.68
